check_id,category,check_description,status,evidence
"CHK001","scope","Branch é docs/phase-5e2-results-discussion-draft.","PASS","git branch --show-current"
"CHK002","scope","A Fase 5E.2 contém somente redação e rastreabilidade.","PASS","Nenhuma CLI analítica executada; nenhum código científico alterado."
"CHK003","structure","Capítulo 4 Resultados foi criado.","PASS","PHASE_5E2_RESULTS_DISCUSSION_DRAFT.md"
"CHK004","structure","Capítulo 5 Discussão foi criado.","PASS","PHASE_5E2_RESULTS_DISCUSSION_DRAFT.md"
"CHK005","structure","A estrutura de 4.1 a 4.7.2 corresponde ao roteiro 5C.","PASS","Comparação com phase_5c_section_map.csv"
"CHK006","structure","A estrutura de 5.1 a 5.8 corresponde ao roteiro 5C.","PASS","Comparação com phase_5c_section_map.csv"
"CHK007","rq","RQ1 está respondida.","PASS","4.2;5.1;5.6;5.8"
"CHK008","rq","RQ2 está respondida.","PASS","4.5–4.7;5.2;5.5;5.6;5.8"
"CHK009","rq","RQ3 está respondida.","PASS","4.3;5.3;5.8"
"CHK010","rq","RQ4 está respondida.","PASS","4.4;5.4;5.8"
"CHK011","rq","RQ5 está respondida.","PASS","4.5–4.6;5.4–5.5;5.8"
"CHK012","visuals","T1 aparece em 4.1.","PASS","Tabela 1 [T1]"
"CHK013","visuals","F1 aparece em 4.2.1.","PASS","Figura 1 [F1]"
"CHK014","visuals","F2 aparece em 4.2.2.","PASS","Figura 2 [F2]"
"CHK015","visuals","F4 aparece em 4.3.","PASS","Figura 3 [F4]"
"CHK016","visuals","F5 aparece em 4.4.","PASS","Figura 4 [F5]"
"CHK017","visuals","T2 aparece em 4.5.","PASS","Tabela 2 [T2]"
"CHK018","visuals","F6 aparece em 4.6.","PASS","Figura 5 [F6]"
"CHK019","visuals","F7 aparece como diagnóstico complementar.","PASS","Figura 6 [F7] em 4.7.1"
"CHK020","visuals","F8 aparece no fim de Resultados.","PASS","Figura 7 [F8] em 4.7.2"
"CHK021","methods","M1 e M2 não foram apresentados como resultados.","PASS","M1/M2 apenas como evidência metodológica no mapa."
"CHK022","eda","Tipo e causa permanecem achados descritivos secundários.","PASS","4.2.3"
"CHK023","eda","A limitação de exposição está explícita.","PASS","4.2;5.1;5.7"
"CHK024","semantics","Associações não recebem interpretação causal.","PASS","4.2;5.1;5.6;5.7"
"CHK025","semantics","Nenhum risco de ocorrência é inferido.","PASS","4.1;4.2;5.1;5.7"
"CHK026","models","A vantagem do XGBoost é qualificada como modesta.","PASS","4.3;5.3;5.8"
"CHK027","temporal","RQ4 não sugere tendência demonstrada.","PASS","4.4;5.4"
"CHK028","temporal","Treino e ano de validação mudando juntos estão explícitos.","PASS","4.4;5.4;5.7"
"CHK029","temporal","2025 não participou de seleção ou ajuste preditivo.","PASS","4.5;5.4"
"CHK030","temporal","2025 não é chamado de completamente cego.","PASS","4.5;5.4;5.7"
"CHK031","threshold","Threshold é separado das métricas probabilísticas.","PASS","4.5–4.6;5.5"
"CHK032","threshold","Threshold não é apresentado como recomendação operacional.","PASS","4.6;5.5;5.7"
"CHK033","threshold","Custos de FP/FN não avaliados estão explícitos.","PASS","4.6;5.5"
"CHK034","interpretation","Tree SHAP é descrito em margem bruta.","PASS","4.7.2;5.6;5.7"
"CHK035","interpretation","SHAP não recebe leitura causal.","PASS","4.7.2;5.6;5.7"
"CHK036","interpretation","O efeito de OHE e cardinalidade está explícito.","PASS","4.7.2;5.6;5.7"
"CHK037","literature","Resultados não usa discussão bibliográfica externa.","PASS","Citações externas restritas ao Capítulo 5."
"CHK038","literature","Discussão usa literatura aplicada e metodológica.","PASS","phase_5e2_citation_audit.csv"
"CHK039","literature","Somente referências VERIFIED são citadas.","PASS","19 REF usadas; 19 VERIFIED."
"CHK040","literature","Nenhuma referência nova foi adicionada.","PASS","Todas as citações pertencem a REF001–REF019."
"CHK041","audit","Auditoria numérica não contém FAIL.","PASS","phase_5e2_numeric_audit.csv"
"CHK042","audit","Auditoria de citações não contém FAIL.","PASS","phase_5e2_citation_audit.csv"
"CHK043","audit","Todos os 45 parágrafos de prosa possuem mapa de evidência.","PASS","phase_5e2_paragraph_evidence_map.csv"
"CHK044","scope","Nenhuma análise, métrica ou figura foi recalculada.","PASS","Somente leitura de artefatos versionados e redação."
"CHK045","scope","Artefatos científicos anteriores permanecem inalterados.","PASS","git diff limitado à Fase 5E.2, README e Research Log."
"CHK046","scope","Código, testes, pyproject.toml e uv.lock permanecem inalterados.","PASS","git diff --name-only e uv lock --check"
"CHK047","language","Expressões proibidas não aparecem no manuscrito.","PASS","Busca textual automatizada."
"CHK048","language","Não há URLs externas no manuscrito.","PASS","Citações em formato autor-data, sem hyperlinks externos."
"CHK049","writing","A redação usa prosa acadêmica contínua e separa Resultado de Discussão.","PASS","45 parágrafos mapeados; literatura somente no Capítulo 5."
"CHK050","next_phase","O texto é identificado como primeira versão sujeita à Fase 5F.","PASS","Nota inicial e relatório de escrita."
