check_id,check,status,evidence
"CHK001","branch correta","PASS","research/phase-5e1-bibliographic-grounding"
"CHK002","oito temas avaliados","PASS","L1-L8 presentes no mapa temático"
"CHK003","L1 coberto","PASS","REF001-REF004"
"CHK004","L2 coberto","PASS","REF005"
"CHK005","L3 coberto","PASS","REF006-REF007"
"CHK006","L4 coberto","PASS","REF001; REF003; REF008-REF009"
"CHK007","L5 coberto","PASS","REF010-REF011"
"CHK008","L6 coberto","PASS","REF012-REF013"
"CHK009","L7 coberto","PASS","REF010; REF014-REF015"
"CHK010","L8 coberto","PASS","REF016-REF019"
"CHK011","todas referências usadas estão VERIFIED","PASS","19 VERIFIED; 0 UNRESOLVED usados"
"CHK012","nenhum autor inventado","PASS","Autores conferidos em páginas de periódicos, proceedings, PubMed ou repositórios institucionais"
"CHK013","nenhum título inventado","PASS","Títulos conferidos nas fontes de verificação registradas"
"CHK014","nenhum DOI inventado","PASS","DOIs conferidos em páginas oficiais ou metadados bibliográficos; campos sem DOI permaneceram vazios"
"CHK015","URLs verificáveis","PASS","Cada referência possui verified_url institucional, editorial ou DOI"
"CHK016","literatura aplicada presente","PASS","REF001-REF004"
"CHK017","literatura metodológica presente","PASS","REF005-REF019"
"CHK018","SHAP não causal","PASS","CLM015-CLM016 e limites REF016-REF019"
"CHK019","ausência de exposição preservada","PASS","CLM002 e REF005"
"CHK020","threshold não operacionalizado","PASS","CLM013-CLM014; nenhuma recomendação operacional"
"CHK021","RQ4 sem tendência demonstrada","PASS","CLM010-CLM012 preservam três folds e mudança simultânea de treino/ano"
"CHK022","2025 descrito corretamente","PASS","Período final de performance, previamente visto em EDA/drift e não usado para otimização"
"CHK023","nenhuma análise executada","PASS","Somente busca, verificação bibliográfica e edição documental"
"CHK024","nenhuma métrica recalculada","PASS","Nenhuma CLI analítica ou leitura de predictions executada"
"CHK025","nenhuma figura alterada","PASS","reports/figures permanece sem alterações"
"CHK026","artefatos 1-5D inalterados","PASS","Somente novos artefatos phase_5e1 e atualizações seletivas de README/Research Log"
"CHK027","código inalterado","PASS","src, scripts e tests permanecem inalterados"
"CHK028","uv.lock inalterado","PASS","git status não registra uv.lock"
