citation_id,section_id,manuscript_claim,citation_text,reference_ids,verification_status,claim_map_ids,usage_boundary,status
"CIT001","5.1","A gravidade rodoviária é estudada com métodos estatísticos e de ML em populações e formulações diversas.","Iranitalab e Khattak (2017); Sameen e Pradhan (2017); Komol et al. (2021)","REF001;REF002;REF003","VERIFIED","CLM001","Contextualização aplicada; não transportar ranks, métricas ou targets externos.","PASS"
"CIT002","5.1","O artigo brasileiro fornece contexto temático próximo em rodovias federais.","Franceschi et al. (2022)","REF004","VERIFIED","CLM003","Diálogo aplicado nacional, sem afirmar comparabilidade direta ou confirmação.","PASS"
"CIT003","5.1","Medidas de segurança viária dependem da definição de oportunidades de exposição.","Chapman (1973)","REF005","VERIFIED","CLM002","Fundamenta a limitação de exposição; nenhum denominador é criado retrospectivamente.","PASS"
"CIT004","5.2","ROC e Precision–Recall são espaços relacionados, mas distintos.","Davis e Goadrich (2006)","REF010","VERIFIED","CLM005","Não atribuir ao artigo a definição operacional de AP deste estudo.","PASS"
"CIT005","5.2","Precision–Recall pode ser informativa quando a classe positiva é menos frequente.","Saito e Rehmsmeier (2015)","REF011","VERIFIED","CLM004","Uso condicional; não declarar AP universalmente superior à ROC-AUC.","PASS"
"CIT006","5.2","Discriminação e calibração são propriedades diferentes.","Van Calster et al. (2019)","REF013","VERIFIED","CLM006","Fundamento metodológico geral; não declarar calibração perfeita.","PASS"
"CIT007","5.2","Brier quantifica erro quadrático probabilístico e complementa a inspeção de calibração.","Brier (1950); Van Calster et al. (2019)","REF012;REF013","VERIFIED","CLM007","Brier isolado não substitui diagnóstico de calibração.","PASS"
"CIT008","5.3","Random Forest combina árvores por agregação.","Breiman (2001)","REF008","VERIFIED","CLM008","Referência original do método; não sustenta o rank interno.","PASS"
"CIT009","5.3","XGBoost implementa boosting de árvores regularizado e escalável.","Chen e Guestrin (2016)","REF009","VERIFIED","CLM008","Referência original do método; não sustenta superioridade universal.","PASS"
"CIT010","5.3","Comparações aplicadas variam conforme população, desfecho, variáveis e validação.","Iranitalab e Khattak (2017); Komol et al. (2021)","REF001;REF003","VERIFIED","CLM009","Contextualiza dependência do desenho; não explica causalmente os deltas internos.","PASS"
"CIT011","5.4","A validação deve respeitar a estrutura temporal quando se busca desempenho futuro.","Roberts et al. (2017)","REF007","VERIFIED","CLM010;CLM012","Sustenta o desenho; não prova suficiência de três folds nem tendência.","PASS"
"CIT012","5.4","Mudanças entre distribuições de desenvolvimento e aplicação podem afetar generalização.","Moreno-Torres et al. (2012)","REF006","VERIFIED","CLM011","Não atribuir os deltas de 2025 a um tipo específico de shift.","PASS"
"CIT013","5.5","O ponto de operação altera precision, recall e custos de erro potencialmente relevantes.","Davis e Goadrich (2006); Fawcett (2006)","REF010;REF014","VERIFIED","CLM013","Não inferir custos ou capacidade operacional da PRF.","PASS"
"CIT014","5.5","A maximização de F1 possui uma regra matemática de threshold.","Lipton, Elkan e Naryanaswamy (2014)","REF015","VERIFIED","CLM014","Ótimo da métrica nos dados de seleção não equivale a ótimo institucional.","PASS"
"CIT015","5.6","SHAP fornece atribuições aditivas e Tree SHAP permite resumos globais de explicações locais.","Lundberg e Lee (2017); Lundberg et al. (2020)","REF016;REF017","VERIFIED","CLM015","Interpretação do modelo em margem; dependente de representação.","PASS"
"CIT016","5.6","Atribuições por Shapley não resolvem causalidade e têm limites como importância geral.","Janzing, Minorics e Blöbaum (2020); Kumar et al. (2020)","REF018;REF019","VERIFIED","CLM016","A crítica limita o alcance, sem invalidar o uso descritivo congelado.","PASS"
