section_id,evidence_id,source_artifact,metric_or_result,planned_use,interpretation_boundary
4.1,5C-E01,reports/tables/phase_2a_year_summary.csv,"Totais anuais, graves, não graves e prevalências de 2021–2025.","Preencher T1 e contextualizar população.","Descrever registros; não inferir risco ou exposição."
4.1,5C-E02,reports/tables/phase_5a_research_question_summary.csv,"342624 ocorrências, 96857 graves e prevalência global de 28.2692%.","Abrir Resultados com os números globais.","Não extrapolar para acidentes não registrados."
4.2.1,5C-E03,reports/tables/phase_5a_research_question_evidence.csv,"Plena Noite 32.472550% vs Pleno dia 25.304737%.","Compor o primeiro painel de F1.","Associação univariada sem exposição horária."
4.2.1,5C-E04,reports/tables/phase_5a_research_question_evidence.csv,"Fim de semana 30.192457% vs Dias úteis 27.330336%.","Compor o segundo painel de F1.","Não controla circulação ou composição."
4.2.1,5C-E05,reports/tables/phase_2f_association_evidence_matrix.csv,"19h 33.732337% vs 8h 23.124346%.","Compor o terceiro painel de F1.","Não interpretar hora como efeito causal."
4.2.2,5C-E06,reports/tables/phase_5a_research_question_evidence.csv,"Nordeste 35.917125% vs Sul 24.874032%.","Compor faceta geográfica de F2.","Macrorregião deriva de UF e não possui exposição."
4.2.2,5C-E07,reports/tables/phase_5a_research_question_evidence.csv,"MA 45.811700% vs SP 18.639426%.","Compor faceta de UF em F2.","Não ordenar UFs por segurança."
4.2.2,5C-E08,reports/tables/phase_5a_research_question_evidence.csv,"Pista Simples 33.711528% vs Dupla 23.351325%.","Compor faceta viária de F2.","Sem controle de tráfego, velocidade, geografia ou exposição."
4.2.2,5C-E09,reports/tables/phase_5a_research_question_evidence.csv,"Nevoeiro/Neblina 31.501057% vs Garoa/Chuvisco 22.264400%.","Compor faceta meteorológica de F2.","Somente categorias informadas com n>=500; Ignorado não é condição física."
4.2.3,5C-E10,reports/tables/phase_5a_research_question_evidence.csv,"Tipo e causa apresentaram diferenças de 44.346930 e 51.484730 p.p.","Registrar achado em texto e remeter a A4.","Temporalidade e taxonomia impedem protagonismo preditivo."
4.3,5C-E11,reports/tables/phase_4d_model_comparison.csv,"AP média: LR 0.3935082935577437; RF 0.3959839275865431; XGB 0.40081097458169895.","Construir F4 e responder RQ3.","Ordenação descritiva em três folds; sem teste post hoc."
4.3,5C-E12,reports/tables/phase_4d_pairwise_ap_deltas.csv,"Deltas: RF-LR 0.0024756340287994116; XGB-LR 0.00730268102395526; XGB-RF 0.004827046995155848.","Qualificar o ganho como modesto.","Não alegar superioridade universal."
4.4,5C-E13,reports/tables/phase_4d_fold_comparison.csv,"Nove APs nos folds de validação 2022, 2023 e 2024.","Construir F5 e responder RQ4.","Treino e ano mudam simultaneamente; sem tendência demonstrada."
4.5,5C-E14,reports/tables/phase_4h_final_evaluation.csv,"2025: AP 0.3974456687131155; ROC-AUC 0.6285562620583193; Brier 0.19382199321256413.","Preencher T2 e responder capacidade probabilística.","Capacidade moderada entre ocorrências registradas."
4.5,5C-E15,reports/tables/phase_4h_development_comparison.csv,"Deltas 2025: AP vs média -0.003365305868583468; ROC-AUC -0.0022936789354663922; Brier -0.00007547537507013313.","Comparar desenvolvimento e avaliação final.","Comparação descritiva sem hipótese ou critério retroativo."
4.6,5C-E16,reports/tables/phase_4f_threshold_selection.csv,"Threshold 0.23723246157169342 selecionado por F1 no OOF 2022–2024.","Explicar origem do cutoff antes de F6.","2025 nunca participou da seleção."
4.6,5C-E17,reports/tables/phase_4h_threshold_evaluation.csv,"Precision 0.33159329140461213; recall 0.7718245254477138; F1 0.4638892554954321; TN/FP/FN/TP 20153/31883/4676/15817.","Construir F6 e descrever compromisso.","Sem estudo de custos ou recomendação operacional."
4.7.1,5C-E18,reports/tables/phase_4h_calibration.csv,"Dez bins quantis com probability média e proporção observada.","Construir F7 se houver espaço.","Diagnóstico descritivo; nenhum calibrador ajustado."
4.7.2,5C-E19,reports/tables/phase_4i_global_feature_contributions.csv,"Top 5: uf, tipo_pista, hour, br e condicao_metereologica.","Construir F8 e apresentar ranking.","Contribuição absoluta em margem não é risco ou efeito."
5.1,5C-E20,reports/tables/phase_5a_research_question_summary.csv,"RQ1 respondida por heterogeneidade temporal, geográfica, meteorológica e viária.","Integrar achados na Discussão.","Sem denominadores de exposição e sem causalidade."
5.2,5C-E21,reports/tables/phase_4h_final_evaluation.csv,"AP acima da prevalência e ROC-AUC aproximadamente 0.63.","Discutir sinal preditivo moderado.","Predição não explica mecanismos causais."
5.3,5C-E22,reports/tables/phase_4d_model_comparison.csv,"XGBoost liderou por margem absoluta pequena.","Discutir complexidade versus ganho.","Resultado específico ao desenho e às configurações."
