visual_id,visual_type,provisional_title,research_question,source_phase,source_artifact,priority,target_section,main_message,main_caution,dashboard_candidate
T1,table,Caracterização anual da população de ocorrências,Principal; RQ1,2A,reports/tables/phase_2a_year_summary.csv,ESSENTIAL,Resultados — Caracterização da base,"Contextualizar 342624 ocorrências, 96857 graves e prevalência anual aproximadamente estável entre 2021 e 2025.","Distinguir volume de proporção e afirmar que a população contém apenas acidentes registrados.",true
F1,figure,Contrastes temporais e de calendário associados à gravidade,RQ1,2B; 2F,reports/tables/phase_2f_association_evidence_matrix.csv,ESSENTIAL,Resultados — Associações descritivas,"Mostrar separadamente Plena Noite vs Pleno dia, fim de semana vs dias úteis e 19h vs 8h.","Usar painéis distintos; sem exposição temporal e sem interpretação causal.",true
F2,figure,Contrastes geográficos viários e meteorológicos associados à gravidade,RQ1,2C; 2D; 2F,reports/tables/phase_2f_association_evidence_matrix.csv,ESSENTIAL,Resultados — Associações descritivas,"Mostrar em facetas Nordeste vs Sul, MA vs SP, pista Simples vs Dupla e Nevoeiro/Neblina vs Garoa/Chuvisco.","Não comparar facetas como categorias equivalentes nem sugerir risco geográfico; sem denominadores de exposição.",true
F3,figure,Prevalência de ocorrências graves por ano,RQ1; RQ4,2A,reports/tables/phase_2a_year_summary.csv,REPOSITORY_ONLY,Repositório técnico,"Exibir a estabilidade descritiva anual do target.","Redundante com T1; não interpretar a sequência como tendência causal.",true
F4,figure,Average Precision média por família de modelo,RQ3,4D,reports/tables/phase_4d_model_comparison.csv,ESSENTIAL,Resultados — Comparação dos modelos,"XGBoost apresentou maior AP média, mas os valores das três famílias são próximos e o ganho é modesto.","Eixo de 0 a 1 ou alternativa visual que não amplifique diferenças; sem teste de significância.",true
F5,figure,Average Precision por fold temporal e família,RQ4,4D,reports/tables/phase_4d_fold_comparison.csv,ESSENTIAL,Resultados — Validação temporal,"As APs foram mais elevadas nos folds posteriores e não houve colapso; XGBoost liderou os três folds.","Período de treino e ano de validação mudam juntos; não inferir tendência temporal de melhora.",true
T2,table,Avaliação temporal final em 2025 e comparação com desenvolvimento,RQ2; RQ5,4H,reports/tables/phase_4h_development_comparison.csv; reports/tables/phase_4h_final_evaluation.csv,ESSENTIAL,Resultados — Avaliação final,"Sintetizar AP, ROC-AUC, Brier, precision, recall, F1 e deltas principais de 2025.","Não duplicar todas as métricas 4H nem criar critério retroativo de aprovação.",true
F6,figure,Matriz de confusão do XGBoost em 2025 no threshold congelado,RQ2; RQ5,4H,reports/tables/phase_4h_threshold_evaluation.csv,ESSENTIAL,Resultados — Avaliação final,"O threshold 0.23723246157169342 prioriza recall e produz 31883 FP, 15817 TP, 4676 FN e 20153 TN.","Cores neutras e anotações de contagem; não deixar volumes absolutos sugerirem qualidade elevada.",true
F7,figure,Calibração descritiva das probabilidades em 2025,RQ2; RQ5,4H,reports/tables/phase_4h_calibration.csv,USEFUL,Resultados/Discussão — Avaliação final,"Comparar probabilidade média e proporção observada em 10 bins quantis.","Diagnóstico sem calibrador; bins têm tamanhos semelhantes e não reabrem o modelo.",true
F8,figure,Contribuição absoluta agregada dos principais predictors em 2025,RQ2; Complementar,4I,reports/tables/phase_4i_global_feature_contributions.csv,USEFUL,Discussão — Interpretação do modelo,"Mostrar top 8 predictors por mean_abs_margin_contribution para explicar informações usadas pelo XGBoost.","Tree SHAP em raw margin, pós-avaliação e não causal; cardinalidade distinta, especialmente br com 125 OHE.",true
