check,status,details
results_and_discussion_separated,PASS,"Capítulo 4 apresenta observações; Capítulo 5 interpreta significado e limites."
all_five_research_questions_present,PASS,"RQ1–RQ5 estão mapeadas em Resultados e Discussão."
rq1_in_descriptive_results,PASS,"RQ1 ocupa 4.2.1–4.2.3 e é integrada em 5.1."
rq2_in_capacity_and_threshold,PASS,"RQ2 ocupa 4.5–4.7 e 5.2/5.5/5.6."
rq3_in_model_comparison,PASS,"RQ3 ocupa 4.3 e 5.3."
rq4_in_temporal_validation,PASS,"RQ4 ocupa 4.4 e 5.4."
rq5_in_final_2025,PASS,"RQ5 ocupa 4.5–4.6 e 5.4–5.5."
all_phase_5b_essential_visuals_positioned,PASS,"T1, F1, F2, F4, F5, T2 e F6 possuem subseção definida."
m1_m2_remain_in_methods,PASS,"M1 e M2 são apenas referenciados e continuam na Metodologia."
f8_is_complementary,PASS,"F8 apresenta ranking em 4.7.2 e é interpretada sem nova RQ em 5.6."
appendices_a1_a4_preserved,PASS,"A1–A4 permanecem no Apêndice."
no_causal_claim,PASS,"Associação e SHAP são explicitamente não causais."
absence_of_exposure_explicit,PASS,"RQ1 e limitações informam ausência de denominadores de exposição."
threshold_not_operationally_ideal,PASS,"Cutoff é seleção matemática por F1 e não recomendação para a PRF."
year_2025_described_correctly,PASS,"2025 é final para performance, não otimiza decisões e não foi totalmente cego para EDA/drift."
rq4_has_no_demonstrated_improvement_trend,PASS,"Texto registra que treino e ano de validação mudam simultaneamente."
numbers_have_versioned_sources,PASS,"Mapa de evidências e números referencia somente fontes publicadas."
rounding_policy_defined,PASS,"Política editorial preserva valores exatos nas fontes."
textual_redundancy_minimized,PASS,"Valores densos permanecem em figuras, tabelas ou apêndice."
literature_placeholders_identified,PASS,"Oito temas futuros de literatura estão marcados."
no_reference_invented,PASS,"Nenhum autor, artigo ou título bibliográfico foi atribuído."
no_analysis_recalculated,PASS,"A fase organiza resultados existentes sem executar análise."
no_figure_created,PASS,"Somente documento e mapas CSV foram criados."
phase_2_to_5b_artifacts_unchanged,PASS,"Nenhum artefato científico anterior foi modificado."
code_unchanged,PASS,"Nenhum módulo ou teste foi criado ou alterado."
uv_lock_unchanged,PASS,"Nenhuma dependência foi adicionada."
