"asset_id","logical_name","scientific_status","target_page","future_path","source_artifacts","allowed_dimensions","measures","frontend_derivation_allowed","partitioning_allowed","manifest_required","notes"
"META","Metadados globais","DOCUMENTATION","ALL","dashboard/public/data/meta.json","docs/PHASE_1_ACCEPTANCE.md; docs/PHASE_3B_FEATURE_POLICY.md; reports/tables/tcc/T1_population_characterization.csv","NONE","schema_version; data_period; source_scope; target_definition","none","false","true","Define escopo e linguagem comum; não contém ocorrências individuais."
"OVERVIEW","Resumo populacional","MIXED","/","dashboard/public/data/overview/summary.json","reports/tables/tcc/T1_population_characterization.csv; data/processed/prf_primary_analytical_2021_2025.parquet","source_year","total_occurrences; severe_occurrences; non_severe_occurrences; severe_proportion","filter_additive_counts_and_severe_proportion","true","true","Partes congeladas e exploratórias devem ser identificadas no asset."
"EXPLORATION","Agregações exploratórias","EXPLORATORY","/exploracao","dashboard/public/data/exploration/temporal.json; dashboard/public/data/exploration/contextual.json","data/processed/prf_primary_analytical_2021_2025.parquet; reports/tables/phase_3c_analytical_schema.csv","TEMPORAL[source_year; dia_semana; hour] | CONTEXTUAL[source_year; tipo_pista; condicao_metereologica; uso_solo]","total_occurrences; severe_occurrences; non_severe_occurrences; severe_proportion","scope_compatible_filter_additive_counts_and_severe_proportion","true","true","Um asset lógico com materializações temporal e contextual permitidas; graves/total somente em agregações compatíveis; combinação arbitrária entre escopos e produto cartesiano de seis dimensões proibidos."
"GEOGRAPHY","Agregações geográficas","EXPLORATORY","/geografia","dashboard/public/data/geography/*.json","data/processed/prf_primary_analytical_2021_2025.parquet; reports/tables/phase_3c_analytical_schema.csv","source_year; uf; br","total_occurrences; severe_occurrences; non_severe_occurrences; severe_proportion","filter_additive_counts_and_severe_proportion","true","true","Suporta dependência UF→BR; não alimenta coroplético de gravidade."
"MODEL_COMPARISON","Comparação de modelos","FROZEN_RESULT","/modelos","dashboard/public/data/models/model_comparison.json","reports/tables/phase_4d_model_comparison.csv; reports/tables/phase_4d_pairwise_ap_deltas.csv; reports/figures/tcc/F4_model_average_precision.*","model_family","mean_average_precision; ap_standard_deviation; pairwise_ap_delta; selection_status","presentation_only","false","true","Valores copiados das fontes publicadas; AP não é recalculada."
"TEMPORAL_VALIDATION","Validação temporal interna","FROZEN_RESULT","/validacao-temporal","dashboard/public/data/validation/temporal_validation.json","reports/tables/phase_4d_fold_comparison.csv; reports/tables/phase_4d_temporal_stability.csv; reports/figures/tcc/F5_temporal_fold_average_precision.*","model_family; validation_year; fold","average_precision; roc_auc; brier_score","presentation_only","false","true","validation_year é dimensão dos resultados publicados, não filtro populacional; selecionar ou exibir um fold altera somente a apresentação e não recalcula performance."
"FINAL_2025","Avaliação final de 2025","FROZEN_RESULT","/modelos;/validacao-temporal","dashboard/public/data/models/final_2025.json","reports/tables/tcc/T2_final_2025_evaluation.csv; reports/tables/phase_4h_final_evaluation.csv; reports/tables/phase_4h_development_comparison.csv","metric","development_reference; final_2025_value; delta","presentation_only","false","true","Não carregar predições para reconstruir valores."
"CALIBRATION_2025","Calibração descritiva de 2025","FROZEN_RESULT","/modelos","dashboard/public/data/models/calibration_2025.json","reports/tables/phase_4h_calibration.csv; reports/figures/tcc/F7_calibration_2025.*","quantile_bin","mean_predicted_probability; observed_severe_proportion; bin_count","presentation_only","false","true","Diagnóstico congelado; sem recalibração no frontend."
"THRESHOLD_2025","Ponto de operação de 2025","FROZEN_RESULT","/limiar","dashboard/public/data/threshold/threshold_2025.json","reports/tables/phase_4f_threshold_selection.csv; reports/tables/phase_4h_threshold_evaluation.csv; reports/figures/tcc/F6_confusion_matrix_2025.*","confusion_matrix_cell; metric","threshold; true_negative; false_positive; false_negative; true_positive; positive_precision; recall; f1","presentation_only","false","true","Sem slider e sem recomputação de matriz."
"INTERPRETATION","Interpretação do XGBoost","FROZEN_RESULT","/interpretacao","dashboard/public/data/interpretation/*.json","reports/tables/phase_4i_global_feature_contributions.csv; reports/tables/phase_4i_transformed_feature_contributions.csv; reports/tables/tcc/A1_top15_transformed_features.csv; reports/figures/tcc/F8_predictor_contributions.*","aggregation_level; feature_rank","mean_absolute_shap; contribution_share; transformed_feature_cardinality","select_published_view_only","true","true","Alternância futura apenas entre visões já publicadas; sem SHAP novo."
"METHODOLOGY_DESIGN","Desenho metodológico","DOCUMENTATION","/metodologia","dashboard/public/data/methodology/design.json","reports/figures/tcc/M1_temporal_design.*; reports/tables/phase_3d_experimental_contract.csv; docs/PHASE_3D_EXPERIMENTAL_DESIGN.md","stage; period; fold","training_period; validation_period; final_evaluation_period","presentation_only","false","true","Resume o contrato sem reproduzir todo o capítulo."
"METHODOLOGY_FEATURES","Variáveis e preprocessing","DOCUMENTATION","/metodologia","dashboard/public/data/methodology/features.json","reports/tables/tcc/M2_features_preprocessing.csv; reports/tables/phase_3b_primary_feature_set.csv; reports/tables/phase_3c_analytical_schema.csv; docs/PHASE_3E_PREPROCESSING.md","conceptual_feature; processing_group","feature_role; preprocessing_rule; leakage_status","presentation_only","false","true","Documenta seleção e transformação sem expor matriz individual."
