"path","type","phase_created","responsibility","tracked_in_git","generated","notes"
"dashboard/","directory","6B","Raiz futura do dashboard estático.","true","false","Não criada na 6A; a 6B cria somente a estrutura necessária aos JSONs e a 6C materializa a aplicação."
"dashboard/src/","directory","6C","Código-fonte da aplicação Next.js.","true","false","Planejado; ausente na 6A."
"dashboard/src/app/","directory","6C","Rotas do App Router, layouts e páginas.","true","false","Somente as oito rotas congeladas na matriz 6A."
"dashboard/src/components/","directory","6C","Componentes reutilizáveis da interface.","true","false","Planejado; sem componentes na 6A."
"dashboard/src/components/charts/","directory","6D","Gráficos acessíveis e cientificamente integrados.","true","false","Não recalcula métricas congeladas."
"dashboard/src/components/filters/","directory","6C","Controles locais das páginas exploratórias.","true","false","Não haverá filtro global para páginas congeladas."
"dashboard/src/components/layout/","directory","6C","Navegação e estrutura visual compartilhada.","true","false","Responsivo para desktop e mobile."
"dashboard/src/components/ui/","directory","6C","Primitivos de interface acessíveis.","true","false","Sem lógica científica."
"dashboard/src/lib/","directory","6C","Infraestrutura frontend sem domínio visual.","true","false","Leitura de JSON, formatação e constantes."
"dashboard/src/lib/data/","directory","6C","Carregamento e validação dos JSONs versionados.","true","false","Não abre Parquet, modelo ou predições."
"dashboard/src/lib/formatting/","directory","6C","Formatação pt-BR de números e textos.","true","false","Valores permanecem numéricos nos JSONs."
"dashboard/src/lib/constants/","directory","6C","Rotas, labels e constantes de apresentação.","true","false","Não duplica lógica científica."
"dashboard/src/types/","directory","6C","Tipos TypeScript dos contratos JSON.","true","false","Alinhados ao schema version 1."
"dashboard/public/","directory","6B","Assets públicos do site estático.","true","false","Planejado; ausente na 6A."
"dashboard/public/data/","directory","6B","JSONs determinísticos, auditados e versionados.","true","true","Conteúdo gerado pela 6B; deploy não depende de Python."
"dashboard/public/data/manifest.json","file","6B","Manifesto comum de schema, proveniência, contagens e hashes.","true","true","Obrigatório para todos os assets."
"dashboard/public/data/meta.json","file","6B","Metadados globais e definição do estudo.","true","true","Asset lógico META."
"dashboard/package.json","file","6C","Dependências e scripts frontend.","true","false","Versões serão verificadas na implementação."
"dashboard/tsconfig.json","file","6C","Configuração TypeScript.","true","false","Não criado na 6A."
"dashboard/next.config.*","file","6C","Configuração de exportação estática do Next.js.","true","false","Formato e extensão definidos na implementação."
"scripts/export_dashboard_data.py","file","6B","Ponto de entrada único da exportação Python para JSON.","true","false","Não implementado na 6A."
"src/tcc_prf_severity/dashboard/","directory","6B","Lógica Python reutilizável de contratos, exportação e manifesto.","true","false","Usará Polars e fontes científicas congeladas."
"tests/test_dashboard_export.py","file","6B","Testes de schemas, hashes, determinismo e fronteiras.","true","false","Não criado na 6A."
