chapter,section_id,provisional_title,research_question,purpose,primary_evidence,planned_visuals,key_message,mandatory_caution
Resultados,4.1,Caracterização da população analisada,Principal; RQ1,"Delimitar população, período e target.","phase_2a_year_summary.csv; phase_5a_research_question_summary.csv",T1,"342624 ocorrências e prevalência grave aproximadamente estável entre 2021 e 2025.","População contém somente acidentes registrados; não mede risco de ocorrência."
Resultados,4.2.1,Padrões temporais e de calendário,RQ1,"Apresentar contrastes temporais selecionados.","phase_5a_research_question_evidence.csv; phase_2f_association_evidence_matrix.csv",F1,"A proporção grave variou entre noite/dia, fim de semana/dias úteis e 19h/8h.","Comparações univariadas sem exposição ou causalidade; painéis não formam ranking comum."
Resultados,4.2.2,"Padrões geográficos, viários e meteorológicos",RQ1,"Apresentar heterogeneidade nas demais dimensões substantivas.",phase_5a_research_question_evidence.csv,F2,"Houve diferenças descritivas entre macrorregiões, UFs, tipos de pista e condições informadas.","Sem denominadores de exposição; não ordenar locais por segurança nem interpretar efeito."
Resultados,4.2.3,Tipo e causa registrados,RQ1,"Preservar achados grandes sem protagonismo preditivo.","phase_5a_research_question_evidence.csv; phase_3b_feature_policy.csv",A4,"Tipo e causa apresentaram contrastes descritivos elevados.","Temporalidade e taxonomia são cautelosas; variáveis não integram o conjunto principal."
Resultados,4.3,Desenho preditivo e comparação dos modelos,RQ3,"Comparar as três famílias sob os mesmos folds.",phase_4d_model_comparison.csv,F4,"XGBoost teve maior AP média, com ganho absoluto modesto.","Três folds e nenhum teste post hoc; não alegar superioridade universal."
Resultados,4.4,Consistência na validação temporal,RQ4,"Mostrar AP por família e ano de validação.",phase_4d_fold_comparison.csv,F5,"APs foram mais elevadas nos folds posteriores sem queda abrupta ou colapso.","Ano de validação e período/volume de treino mudam juntos; não inferir tendência de melhora."
Resultados,4.5,Capacidade preditiva e avaliação final em 2025,RQ2; RQ5,"Apresentar métricas finais e comparação com desenvolvimento.","phase_4h_final_evaluation.csv; phase_4h_development_comparison.csv",T2,"Desempenho em 2025 ficou próximo das referências internas e a discriminação foi moderada.","Um único ano final e nenhuma inferência estatística; 2025 não foi totalmente cego para EDA/drift."
Resultados,4.6,Comportamento do threshold congelado,RQ2; RQ5,"Separar ranking probabilístico de decisão binária.","phase_4f_threshold_selection.csv; phase_4h_threshold_evaluation.csv",F6,"O cutoff priorizou recall e gerou muitos falsos positivos.","Custos não foram estudados e o threshold não é recomendação operacional."
Resultados,4.7.1,Calibração descritiva em 2025,RQ2; RQ5,"Oferecer diagnóstico probabilístico opcional.",phase_4h_calibration.csv,F7,"A calibração complementa AP e Brier sem alterar probabilities.","F7 é condicional; não afirmar calibração perfeita nem novo teste."
Resultados,4.7.2,Contribuição agregada dos predictors,RQ2; Complementar,"Apresentar ranking 4I antes de interpretá-lo.",phase_4i_global_feature_contributions.csv,F8,"Cinco predictors concentraram as maiores contribuições absolutas agregadas em margem.","SHAP não é causa, efeito ou fator de risco; cardinalidade influencia agregações."
Discussão,5.1,Heterogeneidade da gravidade entre ocorrências registradas,RQ1,"Integrar as dimensões descritivas.","T1; F1; F2; phase_5a_research_question_evidence.csv","T1; F1; F2","Heterogeneidade existe no dataset e é condicionada aos registros.","Distinguir volume, proporção e risco; sem exposição ou causalidade."
Discussão,5.2,O que as características conseguem prever,RQ2,"Interpretar capacidade discriminativa sem causalidade.","T2; F6; phase_4h_final_evaluation.csv","T2; F6; F7 opcional","Há sinal preditivo moderado e separação imperfeita entre classes.","Disponibilidade operacional das features é premissa e não comprovação."
Discussão,5.3,Complexidade dos modelos e ganhos modestos,RQ3,"Interpretar a pequena diferença entre famílias.","F4; phase_4d_model_comparison.csv","F4; A3","Complexidade adicional ajudou pouco sob o desenho congelado.","Não generalizar a liderança do XGBoost para outros dados ou configurações."
Discussão,5.4,Consistência temporal e generalização,RQ4; RQ5,"Integrar folds internos e avaliação final.","F5; T2; phase_4h_development_comparison.csv","M1; F5; T2","Não houve colapso e 2025 ficou próximo das referências internas.","Três folds, um ano final e 2025 não completamente cego estruturalmente."
Discussão,5.5,"Threshold, recall e falsos positivos",RQ2; RQ5,"Interpretar o compromisso decisório.","F6; phase_4h_threshold_evaluation.csv",F6,"Recall alto veio com precision baixa e muitos falsos positivos.","Seleção matemática por F1 sem custo operacional; não recomendar implantação."
Discussão,5.6,Relação entre EDA e interpretação do XGBoost,RQ1; RQ2; Complementar,"Relacionar heterogeneidade e uso multivariado.","F1; F2; F8; phase_4i_global_feature_contributions.csv","F1; F2; F8","Existe convergência parcial entre EDA e ranking preditivo.","Interação, redundância, não linearidade e OHE impedem confirmação causal."
Discussão,5.7,Limitações,Principal; RQ1–RQ5,"Integrar limites de dados, desenho, decisão e interpretação.","phase_5a_research_question_summary.csv; PHASE_5A_RESEARCH_QUESTION_SYNTHESIS.md",A1–A4,"As conclusões são condicionadas pela população, desenho temporal e capacidade moderada.","Não omitir ausência de exposição, custos, cegamento estrutural e limites de SHAP."
Discussão,5.8,Síntese da discussão,Principal; RQ1–RQ5,"Responder de forma integrada sem escrever a Conclusão.",phase_5a_research_question_summary.csv,"T1; F1; F2; F4; F5; T2; F6","Houve heterogeneidade e sinal moderado com manutenção aproximada, ganhos modestos e compromisso de threshold.","Sem causalidade, superioridade universal ou recomendação operacional."
