paragraph_id,section_id,paragraph_purpose,internal_evidence,external_references,rq,interpretation_level,main_caution
"P001","4.1","Delimitar população, target e prevalência global.","T1_population_characterization.csv","","Principal;RQ1","RESULT","Somente acidentes registrados."
"P002","4.1","Descrever limites anuais e separar volume de prevalência.","phase_2a_year_summary.csv;T1_population_characterization.csv","","Principal;RQ1","RESULT","Constância descritiva não é teste estatístico."
"P003","4.2","Definir o alcance univariado das associações.","phase_5c_section_map.csv","","RQ1","LIMITATION","Sem exposição, controle multivariado ou causalidade."
"P004","4.2.1","Apresentar os três contrastes temporais de F1.","phase_5a_research_question_evidence.csv;phase_2f_association_evidence_matrix.csv","","RQ1","RESULT","Comparações condicionadas aos registros."
"P005","4.2.1","Explicar a leitura por painéis e a fronteira interpretativa.","F1_temporal_contrasts.png;phase_5c_text_evidence_map.csv","","RQ1","INTERPRETATION","Painéis não formam ranking comum."
"P006","4.2.2","Apresentar contrastes geográficos, viários e meteorológicos.","phase_5a_research_question_evidence.csv","","RQ1","RESULT","Somente condições meteorológicas informadas elegíveis."
"P007","4.2.2","Delimitar facetas, Ignorado e ausência de exposição.","F2_contextual_contrasts.png;phase_2d_weather_summary.csv","","RQ1","LIMITATION","Não produzir ordenação de segurança."
"P008","4.2.3","Registrar os contrastes de tipo e causa.","phase_5a_research_question_evidence.csv;A4_selected_descriptive_contrasts.csv","","RQ1","RESULT","Achados descritivos com detalhes no apêndice."
"P009","4.2.3","Explicar por que tipo e causa não integram o conjunto principal.","phase_3b_feature_policy.csv","","RQ1","LIMITATION","Temporalidade e taxonomia cautelosas."
"P010","4.3","Apresentar desenho comum e AP média das três famílias.","phase_4d_model_comparison.csv","","RQ3","RESULT","Média não ponderada dos mesmos folds."
"P011","4.3","Apresentar deltas e qualificar o ganho.","phase_4d_pairwise_ap_deltas.csv","","RQ3","INTERPRETATION","Três folds; sem teste post hoc."
"P012","4.4","Apresentar a sequência de AP por fold.","phase_4d_fold_comparison.csv","","RQ4","RESULT","Sem queda abrupta no intervalo observado."
"P013","4.4","Impedir inferência de tendência temporal.","phase_3d_temporal_folds.csv;phase_4d_fold_comparison.csv","","RQ4","LIMITATION","Treino e ano de validação mudam simultaneamente."
"P014","4.5","Apresentar métricas finais do pipeline congelado.","phase_4h_final_evaluation.csv;T2_final_2025_evaluation.csv","","RQ2;RQ5","RESULT","Capacidade moderada entre registros."
"P015","4.5","Comparar 2025 ao desenvolvimento e delimitar cegamento.","phase_4h_development_comparison.csv","","RQ2;RQ5","INTERPRETATION","2025 não selecionou o pipeline, mas apareceu em EDA/drift."
