"term_id","technical_term","preferred_academic_term","rule","occurrences_before","occurrences_after","exceptions","status"
"TERM001","target_grave","desfecho de gravidade; ocorrência grave","Manter o nome técnico apenas na primeira definição do desfecho.","3","1","Uma ocorrência entre código para rastreabilidade da definição.","PASS"
"TERM002","features","variáveis preditoras","Substituir o anglicismo quando não houver necessidade técnica.","2","0","Nenhuma.","PASS"
"TERM003","predictors","variáveis preditoras; preditores","Preferir terminologia acadêmica em português.","3","0","O identificador permanece somente no caminho congelado da figura F8.","PASS"
"TERM004","threshold","limiar de decisão","Substituir o termo de implementação no corpo acadêmico.","15","0","Nenhuma no texto visível; nomes de artefatos científicos não foram alterados.","PASS"
"TERM005","pipeline","modelo final; procedimento preditivo","Evitar linguagem de implementação quando o conceito acadêmico é suficiente.","4","0","Nenhuma.","PASS"
"TERM006","refit","ajuste final","Empregar a expressão acadêmica em português.","2","0","Nenhuma.","PASS"
"TERM007","raw margin","margem bruta (`raw margin`); margem","Apresentar o termo técnico entre parênteses somente na primeira ocorrência.","0","1","Uma ocorrência introduzida por exigência terminológica da Fase 5F, sem novo conteúdo científico.","PASS"
"TERM008","baseline","modelo de referência; Regressão Logística","Evitar o anglicismo e nomear o modelo quando aplicável.","0","0","O termo já não aparecia no rascunho.","PASS"
"TERM009","OOF","predições out-of-fold (OOF); OOF","Expandir na primeira ocorrência e conservar a sigla apenas quando necessária.","6","6","Sigla mantida após definição, inclusive na Tabela 2.","PASS"
"TERM010","precision","precisão positiva (precision); precisão positiva","Localizar a métrica sem alterar seu nome científico consagrado.","12","8","Ocorrências remanescentes incluem Average Precision, Precision–Recall e o primeiro rótulo bilíngue.","PASS"
"TERM011","recall","sensibilidade (recall); sensibilidade","Localizar a métrica na primeira ocorrência e usar sensibilidade em seguida.","11","4","Ocorrências remanescentes aparecem em Precision–Recall e no primeiro rótulo bilíngue.","PASS"
"TERM012","EDA","análise exploratória; análise descritiva","Substituir a sigla no manuscrito acadêmico.","5","0","Nenhuma.","PASS"
