"item","type","decision","rationale","next_phase_action"
"target","metodológica","manter definição operacional no nível da ocorrência","Representa ao menos um morto ou ferido grave e não usa classificacao_acidente.","Construir y somente após congelar o protocolo de modelagem."
"time","evidência e elegibilidade","manter dimensões temporais como candidatas","Há associações recorrentes, mas estabilidade do target não garante estabilidade das features.","Avaliar drift, redundância e representação temporal."
"geography","contextual e elegibilidade","manter UF, BR e km candidatas; alta granularidade com cautela","As diferenças são condicionadas às ocorrências e não possuem denominador de exposição.","Avaliar generalização temporal e representação geográfica."
"road_environment","evidência e elegibilidade","manter variáveis de via e ambiente; tratar traçado com cautela","Há contrastes descritivos e tracado_via é multivalorado.","Definir representação de traçado e avaliar drift."
"tipo_acidente","decisão metodológica pendente","não autorizar automaticamente para ML","Pode ser conhecido durante ou após a ocorrência e a taxonomia variou.","Definir momento preditivo e disponibilidade operacional."
"causa_acidente","decisão metodológica pendente","não autorizar automaticamente para ML","É uma causa registrada potencialmente posterior e sua taxonomia variou.","Definir momento preditivo, taxonomia e tratamento de categorias não vistas."
"pessoas","decisão metodológica pendente","manter como secundária e não autorizar automaticamente","A associação é parcialmente mecânica com o target e o campo pode ser consolidado depois.","Avaliar disponibilidade, leakage e divergências de decomposição."
"veiculos","decisão metodológica pendente","não autorizar automaticamente para ML","A disponibilidade no momento preditivo ainda não foi definida.","Definir disponibilidade operacional e avaliar drift."
"administrative_fields","exclusão","excluir regional, delegacia e uop inicialmente","São proxies administrativas sem justificativa preditiva nesta etapa.","Manter fora da preparação inicial."
"leakage_fields","bloqueio","bloquear sete campos de consequência/gravidade","Mortos, feridos e classificacao_acidente contaminam direta ou indiretamente o target.","Aplicar lista de bloqueio antes de construir features."
"temporal_drift","verificação obrigatória","avaliar 22 variáveis antes da modelagem","H001 permanece ativa; prevalência estável não implica features estáveis.","Comparar anos, frequências, valores e categorias sem usar o teste final no desenvolvimento."
"taxonomy_changes","qualidade temporal","preservar rótulos e não harmonizar retroativamente na EDA","Tipo teve 18/16 categorias e causa 76/65 na união/presença em cinco anos.","Definir política de taxonomia e categorias não vistas somente na preparação futura."
