claim_id,target_section,planned_claim,reference_ids,claim_type,internal_evidence,external_support_role,caution
"CLM001","5.1","A gravidade de acidentes rodoviários tem sido modelada com famílias estatísticas e de aprendizado de máquina em diferentes populações e definições de severidade.","REF001;REF002;REF003;REF004","CONTEXT","Fases 2A-2G e Fase 5A RQ1","Contextualizar o problema aplicado e a diversidade metodológica.","Não afirmar confirmação nem comparar métricas entre targets e amostras diferentes."
"CLM002","5.1;5.7","Proporções de graves entre acidentes registrados não equivalem ao risco de ocorrência de acidente sem um denominador de exposição apropriado.","REF005","LIMITATION","PHASE_5A seção 4.4; TCC_RESEARCH_LOG L001","Fundamentar a necessidade conceitual de oportunidades de exposição.","O estudo não estima fluxo, distância, viagens, população ou tempo exposto."
"CLM003","5.1","Um estudo brasileiro com dados de rodovias federais oferece contexto próximo, mas não torna diretamente comparáveis os resultados deste TCC.","REF004","COMPARISON","Fases 2A-2F; phase_5a_research_question_evidence.csv","Permitir diálogo aplicado nacional cauteloso.","Usar 'dialoga com' ou 'apresenta contexto semelhante', nunca 'confirma'."
"CLM004","5.2","Métricas de precision-recall são especialmente informativas quando a classe positiva é menos frequente e o interesse recai sobre os casos positivos.","REF010;REF011","METHOD","PHASE_3D_EXPERIMENTAL_DESIGN.md; resultados 4A-4H","Fundamentar a escolha de AP como métrica primária.","Não declarar que AP é sempre melhor que ROC-AUC."
"CLM005","5.2","Curvas ROC e Precision-Recall representam espaços de avaliação relacionados, mas distintos, e exigem interpretação própria.","REF010","METHOD","Contrato 3D: sklearn.metrics.average_precision_score","Distinguir conceitualmente os espaços ROC e Precision-Recall no planejamento da redação.","A definição operacional exata de Average Precision continua sendo interna ao contrato metodológico e à implementação sklearn.metrics.average_precision_score, não uma fórmula atribuída ao artigo."
"CLM006","5.2;5.4","Calibração probabilística e discriminação avaliam propriedades distintas do modelo.","REF013","INTERPRETATION","phase_4h_calibration.csv; T2; F7","Fundamentar a leitura separada de AP/ROC-AUC e calibração.","Não chamar o modelo de perfeitamente calibrado."
"CLM007","5.2;5.4","O Brier score avalia erro quadrático de previsões probabilísticas, mas um único valor não substitui a inspeção de calibração.","REF012;REF013","METHOD","phase_4h_final_evaluation.csv; phase_4h_calibration.csv","Explicar a função complementar do Brier e da curva de calibração.","F7 é diagnóstico descritivo em faixas, não prova de calibração perfeita."
"CLM008","5.3","Random Forest e XGBoost são métodos de ensemble em árvores com mecanismos distintos.","REF008;REF009","METHOD","PHASE_4B_RANDOM_FOREST.md; PHASE_4C_XGBOOST.md","Fornecer as referências originais dos métodos.","Os artigos fundadores não sustentam o rank observado neste TCC."
"CLM009","5.3","A liderança do XGBoost neste estudo é específica às features, períodos, configurações e métrica congelados.","REF001;REF003;REF008;REF009","INTERPRETATION","phase_4d_model_comparison.csv; phase_4d_fold_comparison.csv","Contextualizar que comparações aplicadas variam por desenho.","Não usar literatura externa como prova de superioridade universal."
"CLM010","5.4","Quando há estrutura temporal e interesse em desempenho futuro, a validação deve preservar a direção do tempo.","REF007","METHOD","PHASE_3D_EXPERIMENTAL_DESIGN.md; M1; F5","Fundamentar o desenho expanding-window.","A referência não prova que os três folds sejam suficientes."
"CLM011","5.4;5.7","Mudanças entre as distribuições de desenvolvimento e aplicação podem afetar a generalização.","REF006","LIMITATION","PHASE_3A_TEMPORAL_DRIFT.md; phase_4h_development_comparison.csv","Fornecer o conceito de dataset shift.","Não atribuir causalmente os deltas de 2025 a uma mudança específica."
"CLM012","5.4","As APs mais elevadas nos folds posteriores não demonstram tendência temporal de melhora porque treino e ano de validação mudam simultaneamente.","REF007","LIMITATION","F5; phase_4d_fold_comparison.csv; PHASE_5A seção RQ4","Reforçar a cautela sobre dependência temporal e desenho de validação.","Relatar apenas ausência de colapso e manutenção aproximada; não alegar estabilidade estatística."
"CLM013","5.5","Alterar o threshold modifica o compromisso entre precision e recall e deve ser interpretado no contexto dos erros relevantes.","REF010;REF014","METHOD","phase_4f_threshold_selection.csv; F6","Fundamentar a leitura do ponto de operação.","Não existe avaliação de custo ou capacidade operacional da PRF."
"CLM014","5.5","Um threshold que maximiza F1 é ótimo para essa regra matemática nos dados de seleção, não necessariamente para uma decisão operacional.","REF015;REF014","LIMITATION","PHASE_4F_THRESHOLD_SELECTION.md; reports/tables/phase_4h_threshold_evaluation.csv","Distinguir otimização métrica de utilidade operacional.","Não recomendar implantação nem selecionar novo cutoff."
"CLM015","5.6","SHAP descreve contribuições de features para as predições do modelo.","REF016;REF017","METHOD","PHASE_4I_FINAL_INTERPRETATION.md; F8; A1","Fundamentar a interpretação preditiva do Tree SHAP.","Preservar escala de margem e dependência da representação."
"CLM016","5.6;5.7","Valores SHAP e agregações de colunas one-hot não identificam efeitos causais nem fatores de risco.","REF018;REF019;REF017","LIMITATION","PHASE_4I_FINAL_INTERPRETATION.md; TCC_RESEARCH_LOG L002","Delimitar o alcance causal e a sensibilidade da agregação.","A soma por predictor é uma escolha de apresentação deste estudo e herda efeitos de cardinalidade e representação."
"CLM017","5.7","Evidência interna e literatura externa devem permanecer separadas: a primeira relata o dataset; a segunda contextualiza método e limites.","REF001;REF005;REF006;REF013;REF018","INTERPRETATION","PHASE_5A_RESEARCH_QUESTION_SYNTHESIS.md","Organizar a discussão sem substituir resultados internos por referências externas.","Evitar linguagem de confirmação, causalidade, risco absoluto ou superioridade universal."
