display_order,visual_id,visual_type,provisional_title,target_section,research_question,priority,source_artifact,reason_for_inclusion
1,M1,methods_figure,Desenho temporal expanding-window e teste final,Metodologia — Desenho experimental,RQ3; RQ4; RQ5,ESSENTIAL_METHODS,reports/tables/phase_3d_temporal_folds.csv; reports/tables/phase_3d_partition_summary.csv,"Torna visível a separação entre desenvolvimento, folds, refit e 2025."
2,M2,table,Conjunto principal de features e preprocessing,Metodologia — Variáveis e preprocessing,RQ2,ESSENTIAL_METHODS,reports/tables/phase_3b_primary_feature_set.csv; reports/tables/phase_3e_preprocessing_contract.csv,"Resume o contrato preditivo sem reproduzir inventários técnicos."
3,T1,table,Caracterização anual da população de ocorrências,Resultados — Caracterização da base,Principal; RQ1,ESSENTIAL,reports/tables/phase_2a_year_summary.csv,"Contextualiza população, target, prevalência e distribuição anual."
4,F1,figure,Contrastes temporais e de calendário associados à gravidade,Resultados — Associações descritivas,RQ1,ESSENTIAL,reports/tables/phase_2f_association_evidence_matrix.csv,"Responde ao componente temporal da RQ1 em facetas semanticamente separadas."
5,F2,figure,Contrastes geográficos viários e meteorológicos associados à gravidade,Resultados — Associações descritivas,RQ1,ESSENTIAL,reports/tables/phase_2f_association_evidence_matrix.csv,"Concentra os demais contrastes centrais da RQ1 sem criar vários gráficos redundantes."
6,F4,figure,Average Precision média por família de modelo,Resultados — Comparação dos modelos,RQ3,ESSENTIAL,reports/tables/phase_4d_model_comparison.csv,"Comunica a ordenação e o ganho modesto entre as três famílias."
7,F5,figure,Average Precision por fold temporal e família,Resultados — Validação temporal,RQ4,ESSENTIAL,reports/tables/phase_4d_fold_comparison.csv,"Mostra os nove resultados temporais sem afirmar tendência causal."
8,T2,table,Avaliação temporal final em 2025 e comparação com desenvolvimento,Resultados — Avaliação final,RQ2; RQ5,ESSENTIAL,reports/tables/phase_4h_development_comparison.csv; reports/tables/phase_4h_final_evaluation.csv,"Sintetiza as métricas necessárias para capacidade preditiva e generalização final."
9,F6,figure,Matriz de confusão do XGBoost em 2025 no threshold congelado,Resultados — Avaliação final,RQ2; RQ5,ESSENTIAL,reports/tables/phase_4h_threshold_evaluation.csv,"Expõe diretamente o compromisso entre recall e falsos positivos."
10,F7,figure,Calibração descritiva das probabilidades em 2025,Resultados/Discussão — Avaliação final,RQ2; RQ5,USEFUL,reports/tables/phase_4h_calibration.csv,"Complementa discriminação e threshold se houver espaço visual."
11,F8,figure,Contribuição absoluta agregada dos principais predictors em 2025,Discussão — Interpretação do modelo,RQ2; Complementar,USEFUL,reports/tables/phase_4i_global_feature_contributions.csv,"Ajuda a compreender o XGBoost com conceitos mais comunicáveis que 226 features."
12,A1,appendix_table,Top 15 features transformadas por contribuição absoluta,Apêndice — Interpretação detalhada,Complementar,APPENDIX,reports/tables/phase_4i_transformed_feature_contributions.csv,"Preserva detalhe dos níveis mais relevantes fora do corpo."
13,A2,appendix_figure,Distribuição dos scores por TP FP FN e TN,Apêndice — Diagnóstico do threshold,RQ2; RQ5,APPENDIX,reports/tables/phase_4i_error_analysis.csv,"Disponibiliza diagnóstico adicional sem competir com a matriz de confusão."
14,A3,appendix_table,Métricas completas por fold e modelo,Apêndice — Resultados completos,RQ3; RQ4,APPENDIX,reports/tables/phase_4d_fold_comparison.csv,"Mantém os valores completos que seriam densos demais no corpo."
15,A4,appendix_table,Contrastes descritivos selecionados e cautelas,Apêndice — Evidências descritivas,RQ1,APPENDIX,reports/tables/phase_5a_research_question_evidence.csv,"Dá rastreabilidade aos contrastes sintetizados nas figuras RQ1."
