variable,source_or_derivation,phase_2f_status,phase_3a_audit_method,prediction_time_compatibility,leakage_or_post_occurrence_concern,drift_note,redundancy_group,final_policy,allowed_in_primary_dataset,allowed_in_secondary_experiment,rationale,future_transformation_note
data_inversa,interim,candidata,calendar_coverage,compatible_by_design,Sem leakage direto; valor temporal bruto compatível com o cenário assumido.,Cobertura completa e derivação mensal consistente.,temporal_date,exclude_redundant_representation,false,false,Data crua não será categoria de alta cardinalidade; mês e dia da semana preservam a representação temporal escolhida.,Derivar componentes somente após o split lógico e descartar a coluna crua dos predictors.
month_name,derivada de data_inversa,candidata,categorical_tvd,compatible_by_design,Sem preocupação pós-ocorrência identificada.,TVD 0.010448; sem categorias novas em 2025.,temporal_date,include_primary,true,false,Mês é representação sazonal reprodutível derivável de informação temporal assumida no cenário.,Derivar de data_inversa; encoder ajustado somente em 2021-2024 e tolerante a unknown.
dia_semana,interim,candidata,categorical_tvd,compatible_by_design,Sem preocupação pós-ocorrência identificada.,TVD 0.013845; suporte estável.,temporal_weekday,include_primary,true,false,Representação semanal compatível com o momento preditivo conceitual e não duplicada por outra feature escolhida.,Encoder categórico ajustado somente em 2021-2024.
horario,interim,candidata,derived_hour_proxy,compatible_by_design,Sem leakage direto; granularidade exata desnecessária.,342624 horários parseáveis; drift avaliado por hour.,temporal_time,exclude_redundant_representation,false,false,Horário exato é substituído pela hora inteira para evitar granularidade e redundância.,Derivar hour e descartar horario dos predictors.
hour,derivada de horario,candidata,categorical_tvd,compatible_by_design,Sem preocupação pós-ocorrência identificada.,TVD 0.010779; todas as 24 horas compartilhadas.,temporal_time,include_primary,true,false,Hora 0-23 é a representação horária principal e reprodutível.,Tratar como categoria discreta; vocabulário ajustado somente em 2021-2024.
fase_dia,interim,candidata,categorical_tvd,compatible_by_design,Sem preocupação pós-ocorrência identificada.,TVD 0.011510; suporte estável.,temporal_time,exclude_redundant_representation,false,false,Sobrepõe informação temporal já representada por hour e não será usada simultaneamente.,Não transformar na versão principal; reavaliação exige nova versão da política.
uf,interim,candidata,categorical_tvd,compatible_by_design,Sem preocupação pós-ocorrência identificada.,TVD 0.029849; 27 UFs compartilhadas.,geography,include_primary,true,false,Contexto geográfico agregado e interpretável com suporte completo.,Encoder categórico ajustado somente em 2021-2024.
br,interim,candidata,categorical_tvd,compatible_by_design,Sem preocupação pós-ocorrência; BR 0 é categoria de qualidade.,TVD 0.030241; uma BR unseen com share 0.001379%.,road_location,include_primary_with_caution,true,false,Identificador rodoviário substantivo; exige política de unknown e preservação de BR 0.,Encoder categórico tolerante a unknown e ajustado somente em 2021-2024.
km,interim,candidata,development_decile_binned_tvd,compatible_by_design,Sem preocupação pós-ocorrência; km 0 é preservado.,TVD em bins 0.011486; mediana 193.0 vs 192.5.,road_location,include_primary_with_caution,true,false,Posição ao longo da BR complementa o identificador rodoviário sem usar coordenadas precisas.,Transformação numérica futura ajustada somente em 2021-2024; não reutilizar automaticamente os decis da 3A.
municipio,interim,candidata_com_cautela,categorical_tvd,compatible_by_design,Sem leakage direto; alta granularidade territorial.,Maior TVD categórica 0.089805; 49 unseen; share 0.097892%.,geography,exclude_redundant_representation,false,false,Alta cardinalidade e redundância com UF e localização rodoviária tornam sua exclusão mais defensável na versão principal.,Não codificar; eventual reintrodução exige nova política e validação temporal.
latitude,interim,candidata_com_cautela,development_decile_binned_tvd,compatible_by_design,Sem leakage direto; coordenada precisa exige representação espacial própria.,TVD em bins 0.018407.,precise_coordinates,exclude_redundant_representation,false,false,Coordenadas precisas são excluídas para evitar redundância com UF e BR/km sem engenharia geoespacial definida.,Não transformar; eventual reintrodução exige nova política.
longitude,interim,candidata_com_cautela,development_decile_binned_tvd,compatible_by_design,Sem leakage direto; coordenada precisa exige representação espacial própria.,Maior TVD numérica 0.019970.,precise_coordinates,exclude_redundant_representation,false,false,Coordenadas precisas são excluídas para evitar redundância com UF e BR/km sem engenharia geoespacial definida.,Não transformar; eventual reintrodução exige nova política.
sentido_via,interim,candidata,categorical_tvd,compatible_by_design,Sem preocupação pós-ocorrência; Não Informado representa ausência semântica.,TVD 0.002277; suporte estável.,road_context,include_primary_with_caution,true,false,Contexto da via plausivelmente observável no momento definido; categoria de qualidade não é evidência substantiva.,Preservar Não Informado; encoder ajustado somente em 2021-2024 e tolerante a unknown.
condicao_metereologica,interim,candidata,categorical_tvd,compatible_by_design,Sem preocupação pós-ocorrência; Ignorado representa ausência semântica.,TVD 0.019615; nenhuma categoria nova em 2025.,environment_context,include_primary_with_caution,true,false,Condição contextual plausivelmente observável no momento preditivo com cautela para ausência de informação.,Preservar Ignorado; encoder ajustado somente em 2021-2024 e tolerante a unknown.
tipo_pista,interim,candidata,categorical_tvd,compatible_by_design,Sem preocupação pós-ocorrência identificada.,TVD 0.011554; suporte estável.,road_context,include_primary,true,false,Característica substantiva e estável da infraestrutura viária.,Encoder categórico ajustado somente em 2021-2024.
