check,status,details
main_question_registered,PASS,"Pergunta principal registrada com escopo condicionado às ocorrências da PRF."
exactly_five_specific_questions,PASS,"RQ1–RQ5 registradas; exatamente cinco perguntas."
no_post_hoc_question,PASS,"A interpretação 4I foi usada como suporte, sem criar RQ6."
rq1_supported_by_eda,PASS,"RQ1 usa primariamente evidências descritivas das Fases 2B–2G."
rq2_supported_by_design_and_modeling,PASS,"RQ2 cruza política 3B, modelos 4A–4C, threshold 4F e avaliação 4H."
rq3_uses_phase_4d_comparison,PASS,"APs e deltas foram lidos das tabelas 4D."
rq4_uses_temporal_folds,PASS,"Folds expanding-window 2022–2024 e métricas por fold foram preservados."
rq5_uses_phase_4h_evaluation,PASS,"RQ5 usa refit 4G e avaliação final 4H."
average_precision_remains_primary,PASS,"AP permanece a métrica primária; ROC-AUC e Brier são secundárias."
numbers_reconcile_with_versioned_artifacts,PASS,"Resultados copiados e cruzados das tabelas versionadas 2–4."
no_training_or_prediction_recalculation,PASS,"Nenhum modelo, predict_proba, pred_contribs ou avaliação foi executado."
model_differences_not_overstated,PASS,"Ganhos descritos como pequenos e incrementais, sem superioridade universal."
final_2025_without_retrospective_adjustment,PASS,"2025 não alterou modelo, threshold, features ou preprocessing."
associations_are_non_causal,PASS,"Associações descritivas não foram convertidas em causalidade."
missing_exposure_explicit,PASS,"Ausência de denominadores de exposição foi registrada."
shap_is_predictive_contribution,PASS,"Tree SHAP descrito em raw margin como participação no modelo."
cardinality_documented,PASS,"Cardinalidade distinta e 125 features OHE de br foram registradas."
limitations_consolidated,PASS,"Dez limitações mínimas foram consolidadas."
research_log_updated,PASS,"Perguntas e respostas curtas centralizadas no Research Log."
phase_2_to_4_artifacts_unchanged,PASS,"Nenhum artefato versionado das Fases 2–4 foi modificado."
