"citation_id","section_id","citation_text","reference_ids","verification_status","phase_5e1_claim_ids","usage_boundary","change_from_5e2","status"
"CIT001","5.1","Iranitalab e Khattak (2017); Sameen e Pradhan (2017); Komol et al. (2021)","REF001;REF002;REF003","VERIFIED","CLM001","Contextualização aplicada; não transportar ranks, métricas ou desfechos externos.","REFORMULATED","PASS"
"CIT002","5.1","Franceschi et al. (2022)","REF004","VERIFIED","CLM003","Diálogo aplicado nacional, sem afirmar comparabilidade direta ou confirmação.","PRESERVED","PASS"
"CIT003","5.1","Chapman (1973)","REF005","VERIFIED","CLM002","Contextualiza a importância de definir oportunidades de exposição; nenhum denominador é criado retrospectivamente.","REFORMULATED","PASS"
"CIT004","5.2","Davis e Goadrich (2006)","REF010","VERIFIED","CLM005","Não atribuir ao artigo a definição operacional de AP deste estudo.","PRESERVED","PASS"
"CIT005","5.2","Saito e Rehmsmeier (2015)","REF011","VERIFIED","CLM004","Uso condicional; não declarar AP universalmente superior à ROC-AUC.","REFORMULATED","PASS"
"CIT006","5.2","Van Calster et al. (2019)","REF013","VERIFIED","CLM006","Fundamento metodológico geral; não declarar calibração perfeita.","REFORMULATED","PASS"
"CIT007","5.2","Brier (1950); Van Calster et al. (2019)","REF012;REF013","VERIFIED","CLM007","Brier isolado não substitui diagnóstico de calibração.","REFORMULATED","PASS"
"CIT008","5.3","Breiman (2001)","REF008","VERIFIED","CLM008","Referência original do método; não sustenta o rank interno.","REFORMULATED","PASS"
"CIT009","5.3","Chen e Guestrin (2016)","REF009","VERIFIED","CLM008","Referência original do método; não sustenta superioridade universal.","REFORMULATED","PASS"
"CIT010","5.3","Iranitalab e Khattak (2017); Komol et al. (2021)","REF001;REF003","VERIFIED","CLM009","Contextualiza dependência do desenho; não explica causalmente os deltas internos.","REFORMULATED","PASS"
"CIT011","5.4","Roberts et al. (2017)","REF007","VERIFIED","CLM010;CLM012","Sustenta o desenho; não prova suficiência de três folds nem tendência.","REFORMULATED","PASS"
"CIT012","5.4","Moreno-Torres et al. (2012)","REF006","VERIFIED","CLM011","Não atribuir os deltas de 2025 a um tipo específico de mudança distributiva.","REFORMULATED","PASS"
"CIT013","5.5","Davis e Goadrich (2006); Fawcett (2006)","REF010;REF014","VERIFIED","CLM013","Não inferir custos ou capacidade operacional da PRF.","REFORMULATED","PASS"
"CIT014","5.5","Lipton, Elkan e Naryanaswamy (2014)","REF015","VERIFIED","CLM014","Ótimo da métrica nos dados de seleção não equivale a ótimo institucional.","REFORMULATED","PASS"
"CIT015","5.6","Lundberg e Lee (2017); Lundberg et al. (2020)","REF016;REF017","VERIFIED","CLM015","Interpretação do modelo em margem; dependente da representação.","REFORMULATED","PASS"
"CIT016","5.6","Janzing, Minorics e Blöbaum (2020); Kumar et al. (2020)","REF018;REF019","VERIFIED","CLM016","A crítica limita o alcance, sem invalidar o uso descritivo congelado.","REFORMULATED","PASS"
