key,value,rationale
development_period,2021-2024,Período exclusivo de desenvolvimento.
final_evaluation_period,2025,Avaliação temporal somente após congelamento.
validation_strategy,expanding_window_by_source_year,Treino sempre antecede validação.
number_of_internal_folds,3,"Validações em 2022, 2023 e 2024."
physical_predictors,22,"Obtidos do esquema 3C, sem lista paralela."
primary_metric,Average Precision (AP),Calcular para target_grave=True pela definição operacional de sklearn.metrics.average_precision_score; não calculada na Fase 3D.
secondary_metrics,ROC-AUC; recall; precision; F1; confusion_matrix; calibration; Brier_score,"Reporte futuro de discriminação, decisão e calibração."
diagnostic_outputs,Precision-Recall_curve,Curva futura para diagnóstico gráfico; não é uma segunda métrica primária.
fold_aggregation,unweighted_mean_AP_plus_std_and_latest_fold,Ranking pela média aritmética não ponderada das três APs; reportar desvio padrão e Fold 3 separadamente; não usar o melhor fold nem AP única no OOF concatenado.
threshold_selection_source,temporal_OOF_2022_2024,Concatenar OOF somente para threshold; não para ranking de modelo. 2021 não possui previsão OOF e 2025 é proibido.
threshold_objective,maximize_positive_class_F1,Sem requisito operacional externo disponível.
threshold_tie_break,higher_recall_then_lower_threshold,Desempate determinístico.
final_refit_period,2021-2024,Refit futuro após seleção somente nos folds internos.
fitting_policy,fit_train_only_within_each_fold,"Encoder, scaler, imputer e modelo nunca veem a validação no fit."
metadata_policy,id_source_year_data_inversa_excluded_from_X,Metadata serve somente à rastreabilidade e auditoria temporal.
final_holdout_policy,no_optimization_or_fit_on_2025,"2025 não orienta features, modelo, hiperparâmetros, threshold ou preprocessing."
deterministic_features,month_name; hour; tracado_via_components,Derivações 3C não aprendem parâmetros e podem preceder o split.
