"check_id","check","status","evidence"
"CHK001","branch correta","PASS","docs/phase-5f-scientific-revision"
"CHK002","arquivo 5E2 preservado","PASS","SHA-256 comparado antes e depois"
"CHK003","arquivo 5F criado","PASS","docs/PHASE_5F_RESULTS_DISCUSSION_REVISED.md"
"CHK004","estrutura 5C preservada","PASS","Títulos e ordem conferidos"
"CHK005","capítulo 4 presente","PASS","Cabeçalho # 4. Resultados"
"CHK006","capítulo 5 presente","PASS","Cabeçalho # 5. Discussão"
"CHK007","RQ1 preservada","PASS","Seções 4.2 e 5.1"
"CHK008","RQ2 preservada","PASS","Seções 4.5 e 5.2"
"CHK009","RQ3 preservada","PASS","Seções 4.3 e 5.3"
"CHK010","RQ4 preservada","PASS","Seções 4.4 e 5.4"
"CHK011","RQ5 preservada","PASS","Seções 4.5 e 5.4"
"CHK012","números preservados","PASS","41 de 41 registros na auditoria numérica"
"CHK013","nenhum número novo","PASS","Nenhum change_type NEW_VALUE"
"CHK014","somente referências VERIFIED","PASS","19 de 19 referências usadas têm status VERIFIED"
"CHK015","nenhuma referência nova","PASS","Somente REF001–REF019"
"CHK016","associação não causal","PASS","Fronteira explícita em 4.2, 5.1 e 5.6"
"CHK017","ausência de exposição","PASS","Registrada em 4.2, 5.1 e 5.7"
"CHK018","ganho modesto XGBoost","PASS","Registrado em 4.3, 5.3 e 5.8"
"CHK019","RQ4 sem tendência demonstrada","PASS","Cautela explícita em 4.4"
"CHK020","2025 não completamente cego","PASS","Distinção estrutural explícita em 4.5 e 5.7"
"CHK021","limiar não operacional","PASS","Registrado em 4.6, 5.5 e 5.7"
"CHK022","SHAP não causal","PASS","Registrado em 4.7.2, 5.6 e 5.7"
"CHK023","Resultados predominantemente factuais","PASS","Capítulo 4 sem literatura externa e centrado na evidência interna"
"CHK024","Discussão interpretativa","PASS","Capítulo 5 integra resultados, literatura e limites"
"CHK025","literatura usada como contexto","PASS","Auditoria bibliográfica sem confirmação externa dos resultados"
"CHK026","terminologia acadêmica revisada","PASS","12 termos auditados"
"CHK027","target_grave reduzido no texto","PASS","3 ocorrências antes; 1 depois"
"CHK028","features reduzido","PASS","2 ocorrências antes; 0 depois"
"CHK029","predictors reduzido","PASS","3 ocorrências antes; 0 depois"
"CHK030","threshold padronizado","PASS","15 ocorrências antes; 0 depois"
"CHK031","pipeline reduzido","PASS","4 ocorrências antes; 0 depois"
"CHK032","refit reduzido","PASS","2 ocorrências antes; 0 depois"
"CHK033","precision/recall padronizados","PASS","Primeira ocorrência bilíngue e uso posterior em português"
"CHK034","IDs internos removidos da prosa visível","PASS","T1, T2 e F1–F8 em comentários HTML"
"CHK035","fontes de tabela academicamente apresentadas","PASS","Fonte: elaboração própria com base nos dados da PRF"
"CHK036","redundância revisada","PASS","Repetições próximas consolidadas"
"CHK037","transições revisadas","PASS","Passagens entre resultados, modelagem, avaliação e discussão revisadas"
"CHK038","F7 permanece opcional","PASS","Mantida como diagnóstico complementar e sinalizada no relatório"
"CHK039","M1/M2 não movidos","PASS","Ausentes dos Resultados"
"CHK040","figuras 5D inalteradas","PASS","Git diff sem figuras modificadas"
"CHK041","tabelas científicas inalteradas","PASS","Somente tabelas de auditoria 5F criadas"
"CHK042","5E1 inalterada","PASS","Git diff sem artefatos 5E1"
"CHK043","5E2 original inalterada","PASS","Git diff e SHA-256 conferidos"
"CHK044","código inalterado","PASS","Git diff sem arquivos de código"
"CHK045","testes inalterados","PASS","Git diff sem arquivos de teste"
"CHK046","pyproject inalterado","PASS","Git diff sem pyproject.toml"
"CHK047","uv.lock inalterado","PASS","SHA-256 comparado antes e depois"
"CHK048","nenhuma análise executada","PASS","Somente leitura, edição textual e validação de repositório"
"CHK049","nenhuma expressão problemática","PASS","Busca das 19 formulações retornou zero"
"CHK050","numeração visual declarada provisória","PASS","Nota editorial e relatório reservam a numeração definitiva à integração"
