"check_id","check","status","evidence"
"CHK001","branch correta","PASS","docs/phase-6a-dashboard-architecture"
"CHK002","dashboard root definido","PASS","dashboard/ na raiz do repositório"
"CHK003","dashboard ainda não criado","PASS","Test-Path dashboard retorna false"
"CHK004","Next.js planejado","PASS","Seções 3 e 5 do documento 6A"
"CHK005","React planejado","PASS","Seção 5 do documento 6A"
"CHK006","TypeScript planejado","PASS","Seção 5 do documento 6A"
"CHK007","static export planejado","PASS","Seções 3, 5 e 14 do documento 6A"
"CHK008","sem backend","PASS","Decisão FROZEN"
"CHK009","sem banco runtime","PASS","Decisão FROZEN"
"CHK010","sem inferência","PASS","Matriz científica nega model inference em todas as páginas"
"CHK011","Python exporter planejado","PASS","scripts/export_dashboard_data.py reservado à 6B"
"CHK012","JSON path definido","PASS","dashboard/public/data/"
"CHK013","JSONs versionados","PASS","tracked_in_git=true no layout"
"CHK014","manifest planejado","PASS","dashboard/public/data/manifest.json"
"CHK015","schema versionado","PASS","dashboard data schema version 1"
"CHK016","raw occurrence JSON proibido","PASS","Seção 7.3 proíbe uma linha por ocorrência"
"CHK017","FROZEN_RESULT definido","PASS","Seção 8.1"
"CHK018","EXPLORATORY_AGGREGATE definido","PASS","Seção 8.2"
"CHK019","overview definido","PASS","Rota / e contrato por página"
"CHK020","exploration definida","PASS","Rota /exploracao com seções TEMPORAL e CONTEXTUAL independentes"
"CHK021","geography definida","PASS","Rota /geografia e contrato por página"
"CHK022","models definida","PASS","Rota /modelos e contrato por página"
"CHK023","temporal validation definida","PASS","Rota /validacao-temporal; validation_year é dimensão publicada e não filtro populacional"
"CHK024","threshold definida","PASS","Rota /limiar e contrato por página"
"CHK025","interpretation definida","PASS","Rota /interpretacao e contrato por página"
"CHK026","methodology definida","PASS","Rota /metodologia e contrato por página"
"CHK027","filtros não globais","PASS","Estado restrito à página e, em Exploração, à seção TEMPORAL ou CONTEXTUAL"
"CHK028","ML pages sem filtros","PASS","modelos, validação, limiar e interpretação não reagem a filtros"
"CHK029","threshold slider proibido","PASS","DENY em toda a matriz científica"
"CHK030","SHAP recomputation proibido","PASS","DENY em toda a matriz científica"
"CHK031","metric recomputation proibido","PASS","AP, ROC-AUC e Brier com DENY em toda a matriz"
"CHK032","geographic risk map proibido","PASS","Coroplético de gravidade com DENY por padrão"
"CHK033","exposure caveat obrigatório","PASS","Obrigatório em Visão Geral, Exploração, Geografia e Metodologia"
"CHK034","source of truth definido","PASS","Fontes congeladas para FROZEN_RESULT e dataset 3C somente para agregações"
"CHK035","6B definida","PASS","Exportador Python, JSONs, manifesto e testes"
"CHK036","6C definida","PASS","Aplicação, layout, navegação, leitura e filtros"
"CHK037","6D definida","PASS","Visualizações, páginas e integração científica"
"CHK038","6E definida","PASS","Polimento, acessibilidade, otimização, build e deploy"
"CHK039","nenhum código implementado","PASS","Somente documentação e contratos CSV 6A"
"CHK040","nenhuma análise executada","PASS","Somente leitura de contratos e edição documental"
"CHK041","5F inalterada","PASS","Hashes dos documentos 5F e git diff conferidos"
"CHK042","uv.lock inalterado","PASS","SHA-256 e git diff conferidos"
"CHK043","escopo temporal definido","PASS","YEAR, WEEKDAY e HOUR atuam somente na seção TEMPORAL de /exploracao"
"CHK044","escopo contextual definido","PASS","YEAR, ROAD_TYPE, WEATHER e LAND_USE atuam somente na seção CONTEXTUAL de /exploracao"
"CHK045","escopos de exploração independentes","PASS","Filtros TEMPORAL e CONTEXTUAL não se cruzam nem formam estado combinável de página"
"CHK046","produto cartesiano de exploração proibido","PASS","Contrato EXPLORATION proíbe combinação arbitrária e cubo de seis dimensões"
"CHK047","validation_year somente apresentação","PASS","Selecionar ou exibir fold publicado não filtra população nem recalcula métricas"
