"feature_or_action","overview","exploration","geography","models","temporal_validation","threshold","interpretation","methodology","rule","reason"
"year filter","ALLOW","ALLOW","ALLOW","DENY","DENY","DENY","DENY","DENY","Somente agregações exploratórias podem ser recortadas por ano; em Exploração, YEAR atua separadamente nos escopos TEMPORAL e CONTEXTUAL.","O experimento temporal permanece congelado e não reage a filtros populacionais; validation_year apenas identifica resultados publicados."
"UF filter","DENY","DENY","ALLOW","DENY","DENY","DENY","DENY","DENY","UF pertence exclusivamente à exploração geográfica aprovada.","Evita criar estado global ou recortes não suportados em outras páginas."
"BR filter","DENY","DENY","ALLOW","DENY","DENY","DENY","DENY","DENY","BR pertence à geografia e pode depender de UF.","O recorte é descritivo e não altera resultados científicos."
"weather filter","DENY","ALLOW","DENY","DENY","DENY","DENY","DENY","DENY","Meteorologia é dimensão aprovada apenas no escopo CONTEXTUAL de Exploração.","Não recorta o escopo TEMPORAL nem altera avaliação de modelos ou interpretação."
"road type filter","DENY","ALLOW","DENY","DENY","DENY","DENY","DENY","DENY","Tipo de pista é dimensão aprovada apenas no escopo CONTEXTUAL de Exploração.","Não recorta o escopo TEMPORAL; mantém a separação entre associação descritiva e experimento."
"weekday filter","DENY","ALLOW","DENY","DENY","DENY","DENY","DENY","DENY","Dia da semana é dimensão aprovada apenas no escopo TEMPORAL de Exploração.","Não recorta o escopo CONTEXTUAL; opera somente sobre agregações exportadas compatíveis."
"time filter","DENY","ALLOW","DENY","DENY","DENY","DENY","DENY","DENY","Hora é dimensão aprovada apenas no escopo TEMPORAL de Exploração.","Não recorta o escopo CONTEXTUAL e não recalcula performance."
"descriptive proportion","ALLOW","ALLOW","ALLOW","DENY","DENY","DENY","DENY","LIMITED","Calcular graves/total somente a partir de contagens exploratórias aditivas e compatíveis com o escopo; Metodologia pode exibir valor congelado.","A proporção descreve ocorrências registradas e não risco; não autoriza combinação entre escopos."
"count aggregation","ALLOW","ALLOW","ALLOW","DENY","DENY","DENY","DENY","LIMITED","Somar apenas contagens declaradas aditivas e compatíveis com o escopo; Metodologia pode exibir contagens congeladas.","Evita combinação entre escopos e duplicação de lógica científica fora das páginas exploratórias."
"AP recomputation","DENY","DENY","DENY","DENY","DENY","DENY","DENY","DENY","Somente exibir AP publicada.","AP pertence ao experimento congelado."
"ROC-AUC recomputation","DENY","DENY","DENY","DENY","DENY","DENY","DENY","DENY","Somente exibir ROC-AUC publicada.","ROC-AUC não será derivada no navegador."
"Brier recomputation","DENY","DENY","DENY","DENY","DENY","DENY","DENY","DENY","Somente exibir Brier publicado.","O frontend não reproduz avaliação probabilística."
"threshold slider","DENY","DENY","DENY","DENY","DENY","DENY","DENY","DENY","Não oferecer controle que altere o limiar.","O limiar foi selecionado antes de 2025 e está congelado."
"confusion matrix recomputation","DENY","DENY","DENY","DENY","DENY","DENY","DENY","DENY","Somente exibir a matriz publicada de 2025.","Não haverá predições individuais no browser."
"SHAP recomputation","DENY","DENY","DENY","DENY","DENY","DENY","DENY","DENY","Somente exibir contribuições já publicadas.","Não haverá modelo, dados individuais ou SHAP em runtime."
"model inference","DENY","DENY","DENY","DENY","DENY","DENY","DENY","DENY","Nenhuma inferência de modelo em qualquer rota.","O dashboard é publicação estática, não sistema preditivo."
"choropleth severity map","DENY","DENY","DENY","DENY","DENY","DENY","DENY","DENY","Mapa coroplético de gravidade é proibido por padrão.","Alto risco de interpretação como mapa de perigo sem exposição."
"new statistical test","DENY","DENY","DENY","DENY","DENY","DENY","DENY","DENY","Nenhum teste novo pode ser executado ou apresentado automaticamente.","Resultado novo exigiria análise e revisão científica separadas."
