check,status,details
all_five_research_questions_covered,PASS,"RQ1–RQ5 possuem ao menos uma evidência visual ou tabular selecionada."
main_question_covered,PASS,"T1, F1, F2, F4–F6 e T2 sustentam a resposta integrada."
rq1_has_descriptive_evidence,PASS,"F1 e F2 organizam contrastes descritivos sem causalidade."
rq2_has_evaluation_and_threshold,PASS,"T2, F6 e opcionalmente F7/F8 cobrem capacidade e decisão."
rq3_has_model_comparison,PASS,"F4 compara AP média das três famílias."
rq4_has_temporal_folds,PASS,"F5 mostra AP por fold e M1 explicita o desenho expanding-window."
rq5_has_final_comparison,PASS,"T2 compara 2025 com desenvolvimento e F6 mostra a decisão final."
phase_4i_is_complementary_only,PASS,"F8 é USEFUL e A1 complementar; nenhuma nova RQ foi criada."
no_visual_causality,PASS,"Títulos e cautelas descrevem associação ou contribuição preditiva."
counts_and_rates_distinguished,PASS,"T1 e regras visuais separam volume, prevalência e matriz de contagens."
no_misleading_axis_recommended,PASS,"Eixos não devem ser truncados para ampliar diferenças pequenas."
lean_main_set,PASS,"Corpo+metodologia recomendam 3 tabelas e 8 figuras; somente 5 figuras de Resultados são ESSENTIAL."
redundancies_explicitly_removed,PASS,"Onze candidatos redundantes ou inadequados foram justificados."
technical_artifacts_outside_main_text,PASS,"Hashes, manifestos, checklists e inventários integrais ficam no repositório."
appendices_defined,PASS,"Quatro itens selecionados para apêndice."
methods_separated_from_results,PASS,"M1 e M2 possuem prioridade ESSENTIAL_METHODS e seção própria."
dashboard_candidates_identified,PASS,"Inventário marca candidatos reaproveitáveis na Fase 6."
phase_6_static_json_architecture_recorded,PASS,"Next.js, React, TypeScript, JSON estático, cliente e Vercel registrados."
no_figure_created,PASS,"A Fase 5B produziu somente plano e tabelas de inventário."
no_metric_recalculated,PASS,"Todos os valores permanecem nas fontes versionadas; nenhuma análise foi refeita."
no_modeling_executed,PASS,"Nenhum treino, predição, SHAP, threshold, refit ou avaliação foi executado."
phase_2_to_5a_artifacts_unchanged,PASS,"Nenhum artefato científico anterior foi modificado."
uv_lock_unchanged,PASS,"Nenhuma dependência foi adicionada e uv.lock permanece intacto."
