question_id,evidence_id,phase,evidence_type,source_artifact,metric_or_analysis,observed_result,interpretation,caution
RQ1,E001,2B,descriptive,reports/tables/phase_2f_core_findings.csv,Plena Noite vs Pleno dia,"32.472550% vs 25.304737%; diferença 7.167813 p.p.; 119581 ocorrências focais","A gravidade proporcional foi maior à noite nos registros e o contraste apareceu nos cinco anos.","Sem exposição horária ou controle multivariado; não mede risco de acidente."
RQ1,E002,2B,descriptive,reports/tables/phase_2f_core_findings.csv,Fim de semana vs Dias úteis,"30.192457% vs 27.330336%; diferença 2.862121 p.p.; 112389 ocorrências focais","Fim de semana apresentou proporção grave superior nas ocorrências registradas.","O agrupamento não controla volume de circulação ou composição das ocorrências."
RQ1,E003,2C,descriptive,reports/tables/phase_2f_core_findings.csv,Nordeste vs Sul,"35.917125% vs 24.874032%; diferença 11.043093 p.p.; 74232 ocorrências focais","Houve heterogeneidade geográfica recorrente entre macrorregiões.","Macrorregião deriva de UF e não há denominador de exposição."
RQ1,E004,2C,descriptive,reports/tables/phase_2f_association_evidence_matrix.csv,MA vs SP,"45.811700% vs 18.639426%; diferença 27.172274 p.p.","A distribuição estadual de proporção grave foi heterogênea.","Não permite ordenar segurança das UFs; contexto, registro e exposição diferem."
RQ1,E005,2D,descriptive,reports/tables/phase_2f_core_findings.csv,Pista Simples vs Dupla,"33.711528% vs 23.351325%; diferença 10.360203 p.p.; amplitude anual focal 0.874583 p.p.","Pista Simples apresentou maior proporção grave de forma recorrente.","Não controla geografia, tráfego, velocidade ou exposição rodoviária."
RQ1,E006,2D,descriptive,reports/tables/phase_2f_association_evidence_matrix.csv,Nevoeiro/Neblina vs Garoa/Chuvisco,"31.501057% vs 22.264400%; diferença 9.236657 p.p.; somente condições informadas com n>=500","Condições meteorológicas informadas apresentaram diferenças descritivas.","Ignorado não é condição física; ausência de exposição e categorias pequenas limitam a leitura."
RQ1,E007,2F,descriptive,reports/tables/phase_2f_core_findings.csv,Tipo e causa registrados,"Atropelamento de Pedestre vs Colisão traseira: 44.346930 p.p.; Pedestre andava na pista vs Reação tardia: 51.484730 p.p.","Tipo e causa registrados tiveram os maiores contrastes descritivos da matriz central.","Podem ser conhecidos ou consolidados após a ocorrência e possuem cautelas de taxonomia; não foram autorizados automaticamente no conjunto principal."
RQ2,E008,3B,methodological,reports/tables/phase_3b_primary_feature_set.csv,Política de features,"11 representações principais compatíveis por premissa com o cenário preditivo; 22 predictors físicos após expansão multilabel","O experimento restringiu o conjunto principal a informações conceitualmente compatíveis com o momento definido.","O dataset não possui timestamp de preenchimento por campo e o fluxo operacional interno da PRF não foi verificado."
RQ2,E009,4H,predictive,reports/tables/phase_4h_final_evaluation.csv,Capacidade probabilística 2025,"AP 0.3974456687131155; ROC-AUC 0.6285562620583193; Brier 0.19382199321256413; prevalência 0.2825490493457789","A AP acima da prevalência e ROC-AUC em torno de 0.63 indicam sinal preditivo, porém capacidade discriminativa moderada.","Métricas descrevem gravidade entre ocorrências registradas, não probabilidade de acidente."
RQ2,E010,4F/4H,predictive,reports/tables/phase_4h_threshold_evaluation.csv,Threshold congelado 0.23723246157169342,"Precision 0.33159329140461213; recall 0.7718245254477138; F1 0.4638892554954321; FP 31883; TP 15817","O cutoff prioriza sensibilidade para a classe grave e transforma ranking probabilístico em decisões com recall alto.","O custo é precision relativamente baixa e muitos falsos positivos; nenhum novo cutoff foi selecionado."
RQ2,E011,4I,model_interpretation,reports/tables/phase_4i_global_feature_contributions.csv,Tree SHAP nativo em margem,"Top 5: uf 0.30914061427705003; tipo_pista 0.2156401333022573; hour 0.21537897879567514; br 0.11535052497091844; condicao_metereologica 0.06993538475580058","O modelo utilizou principalmente informação geográfica, viária, temporal e meteorológica para formar predições.","Interpretação pós-avaliação, não causal; cardinalidades diferentes influenciam agregações e br possui 125 features OHE."
RQ3,E012,4D,predictive,reports/tables/phase_4d_model_comparison.csv,AP média por família,"Logística 0.3935082935577437; Random Forest 0.3959839275865431; XGBoost 0.40081097458169895","A ordenação descritiva colocou XGBoost em primeiro, Random Forest em segundo e Logística em terceiro.","Diferenças pequenas em somente três folds; sem teste de significância ou superioridade universal."
RQ3,E013,4D,predictive,reports/tables/phase_4d_pairwise_ap_deltas.csv,Deltas médios de AP,"RF - Logística 0.0024756340287994116; XGBoost - Logística 0.00730268102395526; XGBoost - RF 0.004827046995155848","A complexidade adicional trouxe ganho incremental, não transformação radical da discriminação.","Deltas são descritivos e não receberam teste post hoc."
RQ3,E014,4E,methodological,reports/tables/phase_4e_model_selection.csv,Seleção formal,"phase_4c_xgboost_baseline selecionado pela maior média aritmética não ponderada de AP nos três folds","A decisão seguiu a regra pré-especificada e não consultou 2025.","Seleção depende do desenho temporal e da métrica congelada."
RQ4,E015,3D,temporal_validation,reports/tables/phase_3d_temporal_folds.csv,Expanding-window,"2021 -> 2022; 2021-2022 -> 2023; 2021-2023 -> 2024","Os modelos foram comparados em três validações temporalmente posteriores ao respectivo treino.","Treino cresce a cada fold; diferenças não isolam efeito do ano."
