check_id,asset_id,scope,metric,expected_source,expected_value,exported_value,comparison,status,notes
RC001,OVERVIEW,global,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,342624,342624,equal,PASS,Resumo global copiado de T1.
RC002,OVERVIEW,global,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,96857,96857,equal,PASS,Resumo global copiado de T1.
RC003,OVERVIEW,global,non_severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,245767,245767,equal,PASS,Resumo global copiado de T1.
RC004,EXPLORATION,temporal:global,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,342624,342624,equal,PASS,Soma das células observadas.
RC005,EXPLORATION,temporal:global,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,96857,96857,equal,PASS,Soma das células observadas.
RC006,EXPLORATION,temporal:global,non_severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,245767,245767,equal,PASS,Soma das células observadas.
RC007,EXPLORATION,temporal:2021,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,64567,64567,equal,PASS,Reconciliação anual das células observadas.
RC008,EXPLORATION,temporal:2021,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,18118,18118,equal,PASS,Reconciliação anual das células observadas.
RC009,EXPLORATION,temporal:2022,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,64606,64606,equal,PASS,Reconciliação anual das células observadas.
RC010,EXPLORATION,temporal:2022,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,18409,18409,equal,PASS,Reconciliação anual das células observadas.
RC011,EXPLORATION,temporal:2023,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,67766,67766,equal,PASS,Reconciliação anual das células observadas.
RC012,EXPLORATION,temporal:2023,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,19212,19212,equal,PASS,Reconciliação anual das células observadas.
RC013,EXPLORATION,temporal:2024,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,73156,73156,equal,PASS,Reconciliação anual das células observadas.
RC014,EXPLORATION,temporal:2024,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,20625,20625,equal,PASS,Reconciliação anual das células observadas.
RC015,EXPLORATION,temporal:2025,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,72529,72529,equal,PASS,Reconciliação anual das células observadas.
RC016,EXPLORATION,temporal:2025,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,20493,20493,equal,PASS,Reconciliação anual das células observadas.
RC017,EXPLORATION,contextual:global,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,342624,342624,equal,PASS,Soma das células observadas.
RC018,EXPLORATION,contextual:global,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,96857,96857,equal,PASS,Soma das células observadas.
RC019,EXPLORATION,contextual:global,non_severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,245767,245767,equal,PASS,Soma das células observadas.
RC020,EXPLORATION,contextual:2021,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,64567,64567,equal,PASS,Reconciliação anual das células observadas.
RC021,EXPLORATION,contextual:2021,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,18118,18118,equal,PASS,Reconciliação anual das células observadas.
RC022,EXPLORATION,contextual:2022,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,64606,64606,equal,PASS,Reconciliação anual das células observadas.
RC023,EXPLORATION,contextual:2022,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,18409,18409,equal,PASS,Reconciliação anual das células observadas.
RC024,EXPLORATION,contextual:2023,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,67766,67766,equal,PASS,Reconciliação anual das células observadas.
RC025,EXPLORATION,contextual:2023,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,19212,19212,equal,PASS,Reconciliação anual das células observadas.
RC026,EXPLORATION,contextual:2024,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,73156,73156,equal,PASS,Reconciliação anual das células observadas.
RC027,EXPLORATION,contextual:2024,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,20625,20625,equal,PASS,Reconciliação anual das células observadas.
RC028,EXPLORATION,contextual:2025,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,72529,72529,equal,PASS,Reconciliação anual das células observadas.
RC029,EXPLORATION,contextual:2025,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,20493,20493,equal,PASS,Reconciliação anual das células observadas.
RC030,GEOGRAPHY,geography:global,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,342624,342624,equal,PASS,Soma das células observadas.
RC031,GEOGRAPHY,geography:global,severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,96857,96857,equal,PASS,Soma das células observadas.
RC032,GEOGRAPHY,geography:global,non_severe_occurrences,reports/tables/tcc/T1_population_characterization.csv,245767,245767,equal,PASS,Soma das células observadas.
RC033,GEOGRAPHY,geography:2021,total_occurrences,reports/tables/tcc/T1_population_characterization.csv,64567,64567,equal,PASS,Reconciliação anual das células observadas.
