finding_id,theme,finding,supporting_question,source_phase,source_artifact,interpretation_limit
CF01,descriptive,"Plena Noite teve 32.472550% de graves contra 25.304737% em Pleno dia, e fim de semana 30.192457% contra 27.330336% em dias úteis.",RQ1,2B,reports/tables/phase_2f_core_findings.csv,"Sem denominador temporal de exposição ou controle da composição; não mede risco de acidente."
CF02,descriptive,"Nordeste apresentou 35.917125% de graves contra 24.874032% no Sul; entre UFs, MA e SP formaram extremos de 45.811700% e 18.639426%.",RQ1,2C,reports/tables/phase_2f_association_evidence_matrix.csv,"Heterogeneidade contextual não permite ordenar segurança de regiões ou estados."
CF03,descriptive,"Pista Simples apresentou 33.711528% de graves contra 23.351325% em pista Dupla, contraste recorrente nos cinco anos.",RQ1,2D,reports/tables/phase_2f_core_findings.csv,"Não há exposição rodoviária nem controle por geografia, fluxo ou velocidade."
CF04,descriptive,"Entre condições meteorológicas informadas com n>=500, Nevoeiro/Neblina teve 31.501057% e Garoa/Chuvisco 22.264400% de graves.",RQ1,2D,reports/tables/phase_2f_association_evidence_matrix.csv,"Ignorado não é condição observada; categorias e ausência de exposição limitam a leitura."
CF05,descriptive,"Tipo e causa registrados apresentaram os maiores contrastes descritivos, incluindo Atropelamento de Pedestre e Pedestre andava na pista.",RQ1,2F,reports/tables/phase_2f_core_findings.csv,"Possível conhecimento pós-ocorrência e mudanças de taxonomia impedem interpretação preditiva ou causal automática."
CF06,model_comparison,"As APs médias foram 0.3935082935577437 na Logística, 0.3959839275865431 na Random Forest e 0.40081097458169895 no XGBoost.",RQ3,4D,reports/tables/phase_4d_model_comparison.csv,"A ordenação é descritiva em três folds e não demonstra superioridade universal."
CF07,model_comparison,"O ganho médio do XGBoost foi 0.00730268102395526 sobre a Logística e 0.004827046995155848 sobre a Random Forest.",RQ3,4D,reports/tables/phase_4d_pairwise_ap_deltas.csv,"Ganhos absolutos modestos e sem teste estatístico post hoc."
CF08,temporal_stability,"As três famílias apresentaram APs mais elevadas nos folds posteriores, sem queda abrupta ou colapso; o XGBoost variou de 0.390374557377428 em 2022 a 0.4070898952179728 em 2024.",RQ4,4D,reports/tables/phase_4d_fold_comparison.csv,"Somente três folds expanding-window; ano de validação e período/volume de treino mudam juntos, impedindo atribuição exclusiva ao tempo ou inferência de tendência de melhora."
CF09,final_generalization,"Em 2025, o XGBoost obteve AP 0.3974456687131155, ROC-AUC 0.6285562620583193 e Brier 0.19382199321256413.",RQ5,4H,reports/tables/phase_4h_final_evaluation.csv,"Um único ano final; 2025 já havia participado de EDA e drift estrutural."
CF10,final_generalization,"A AP 2025 ficou 0.003365305868583468 abaixo da média interna e o F1 no threshold apenas 0.0014194485644579147 abaixo do OOF.",RQ5,4H,reports/tables/phase_4h_development_comparison.csv,"Deltas descritivos sem teste de significância ou regra retroativa de aceitação."
CF11,threshold_behavior,"O threshold 0.23723246157169342 produziu recall 0.7718245254477138, precision 0.33159329140461213 e 31883 falsos positivos em 2025.",RQ2,4H,reports/tables/phase_4h_threshold_evaluation.csv,"Recall alto vem acompanhado de precision relativamente baixa; ranking probabilístico difere da decisão binária."
CF12,model_interpretation,"uf, tipo_pista, hour, br e condicao_metereologica foram os cinco predictors de maior contribuição absoluta média no Tree SHAP nativo de 2025.",RQ2,4I,reports/tables/phase_4i_global_feature_contributions.csv,"Contribuições em raw margin são pós-avaliação e não causais; cardinalidade influencia agregações."
