"revision_id","section_id","category","before_summary","after_summary","rationale","scientific_content_changed","status"
"REV001","Documento","LANGUAGE","Título e nota identificavam a primeira redação.","Título e nota identificam uma versão revisada ainda sujeita à aprovação humana.","Distinguir o novo artefato sem declarar fechamento definitivo.","false","PASS"
"REV002","4.1","TERMINOLOGY","O nome técnico do desfecho reaparecia no texto.","O nome técnico aparece apenas na definição inicial; depois, usa-se linguagem acadêmica.","Reduzir código inline e preservar rastreabilidade.","false","PASS"
"REV003","4.1","FLOW","A caracterização combinava delimitação e comentário documental.","A população, a definição do desfecho e o universo empírico foram integrados em sequência acadêmica.","Melhorar fluidez do parágrafo de abertura.","false","PASS"
"REV004","4.1","FIGURE_TABLE_STYLE","A fonte visível da Tabela 1 citava o nome do CSV.","A fonte visível atribui elaboração própria com base nos dados da PRF.","Separar apresentação acadêmica de rastreabilidade do repositório.","false","PASS"
"REV005","4.2","SCIENTIFIC_PRECISION","Comparações por categoria alternavam prevalência e proporção.","As comparações usam proporção de ocorrências graves.","Evitar leitura como risco populacional de acidente.","false","PASS"
"REV006","4.2","REDUNDANCY","Cautelas sobre exposição e causalidade reapareciam com formulações próximas.","A regra geral foi concentrada na abertura e retomada apenas onde necessária.","Reduzir repetição sem remover limites científicos.","false","PASS"
"REV007","4.2.3–4.3","FLOW","A passagem da análise descritiva para a modelagem era implícita.","O texto encerra a caracterização distinguindo seus papéis antes da comparação preditiva.","Preservar a fronteira entre associação e predição.","false","PASS"
"REV008","4.3","SCIENTIFIC_PRECISION","A liderança do XGBoost aparecia com cautelas dispersas.","A liderança e o ganho modesto foram apresentados no mesmo bloco factual.","Evitar interpretação de superioridade geral ou significância.","false","PASS"
"REV009","4.4","REDUNDANCY","A cautela temporal era desenvolvida em frases parcialmente repetidas.","Uma formulação direta registra a mudança simultânea de treino e ano.","Manter a limitação sem duplicação verbal.","false","PASS"
"REV010","4.5","TERMINOLOGY","Refit, pipeline, threshold, precision e recall apareciam como termos de implementação.","Foram usados ajuste final, modelo, limiar, precisão positiva e sensibilidade.","Padronizar linguagem acadêmica preservando os nomes técnicos na primeira ocorrência.","false","PASS"
"REV011","4.5","FIGURE_TABLE_STYLE","A Tabela 2 exibia rótulos ingleses e fonte com nome de CSV.","Os rótulos foram localizados e a fonte recebeu formulação acadêmica.","Melhorar apresentação sem alterar valores ou fontes científicas.","false","PASS"
"REV012","4.6","SCIENTIFIC_PRECISION","Precisão positiva e F1 apareciam associados à interpretação dos alertas não graves.","A precisão positiva sustenta essa interpretação, enquanto o F1 sintetiza o compromisso com a sensibilidade.","Atribuir a cada métrica somente a interpretação correspondente.","false","PASS"
"REV013","4.7.1","SCIENTIFIC_PRECISION","O texto mencionava o pipeline e repetia a fronteira do diagnóstico.","O diagnóstico foi mantido curto, descritivo e sem julgamento categórico.","Preservar a condição opcional da figura de calibração.","false","PASS"
"REV014","4.7.2","TERMINOLOGY","O título e o texto empregavam predictors.","O título e o texto empregam variáveis preditoras e introduzem margem bruta (`raw margin`).","Aplicar a política terminológica solicitada.","false","PASS"
"REV015","4.7–5","FLOW","A transição entre resultados e discussão dependia apenas dos títulos.","A última frase factual delimita os resultados que fundamentam a discussão.","Criar continuidade sem parágrafo de transição vazio.","false","PASS"
"REV016","5.1","SCIENTIFIC_PRECISION","Mecanismos associados e demonstração por Chapman podiam sugerir alcance causal excessivo.","O texto trata de associação ajustada e apresenta Chapman como discussão conceitual da exposição.","Compatibilizar a redação com o alcance observacional das fontes.","false","PASS"
"REV017","5.2","TERMINOLOGY","Features, precision e recall apareciam no argumento interpretativo.","Foram adotadas variáveis, precisão positiva e sensibilidade.","Reduzir linguagem de implementação.","false","PASS"
"REV018","5.3–5.4","FLOW","Complexidade e temporalidade retomavam cautelas em blocos extensos.","A liderança interna conduz diretamente à validade temporal e às suas fronteiras.","Aumentar densidade e coesão entre RQ3 e RQ4.","false","PASS"
"REV019","5.5","TERMINOLOGY","Threshold, scores, precision, recall e cutoff dominavam a subseção.","Limiar, escores, precisão positiva e sensibilidade organizam a discussão.","Localizar termos sem alterar a regra de F1.","false","PASS"
"REV020","5.5–5.7","REDUNDANCY","Custos não avaliados e caráter não operacional reapareciam quase integralmente.","A discussão substantiva permanece em 5.5 e a limitação retorna de forma sintética em 5.7.","Evitar duplicação preservando a limitação.","false","PASS"
"REV021","5.6","SCIENTIFIC_PRECISION","Fatores representacionais eram apresentados como explicação da divergência entre ordenações.","Fatores representacionais são apresentados como possibilidades que podem contribuir para a divergência.","Não tratar hipóteses explicativas como demonstradas sem análise adicional.","false","PASS"
"REV022","5.6–5.7","REDUNDANCY","As fronteiras causais de SHAP eram retomadas em formulações extensas.","A discussão mantém a fundamentação e Limitações sintetiza representação e cardinalidade.","Preservar o limite com menor repetição.","false","PASS"
"REV023","5.7","LANGUAGE","Os quatro blocos continham linguagem de documentação e frases longas.","Os quatro blocos foram condensados sem retirar população, tempo, decisão ou interpretação.","Aumentar legibilidade e preservar a estrutura aprovada.","false","PASS"
"REV024","5.8","FLOW","A síntese repetia formulações do corpo e termos de implementação.","A síntese integra as cinco respostas, o ponto de operação e os limites em dois parágrafos concisos.","Encerrar a discussão sem antecipar a Conclusão formal.","false","PASS"
"REV025","Elementos visuais","FIGURE_TABLE_STYLE","IDs internos apareciam em prosa e legendas.","IDs foram movidos para comentários HTML; títulos e legendas ficaram acadêmicos.","Preservar rastreabilidade sem expor identificadores internos.","false","PASS"
