theme_id,theme,reference_id,evidence_role,planned_discussion_section,why_relevant,usage_boundary
"L1","Estudos de aprendizado de máquina para gravidade de acidentes rodoviários","REF001","applied_comparative","5.2;5.3","Compara métodos estatísticos e de ML em predição de gravidade de acidentes.","Não transportar ranks ou métricas para o dataset deste TCC."
"L1","Estudos de aprendizado de máquina para gravidade de acidentes rodoviários","REF002","applied_method_diversity","5.2","Aplica rede recorrente e compara com outras famílias em dados de acidentes.","Não comparar acurácia diretamente por diferenças de target, amostra e validação."
"L1","Estudos de aprendizado de máquina para gravidade de acidentes rodoviários","REF003","applied_comparative","5.1;5.2","Compara RF, SVM e KNN para níveis de gravidade de usuários vulneráveis.","Importâncias e fatores são associativos/preditivos, não causais."
"L1","Estudos de aprendizado de máquina para gravidade de acidentes rodoviários","REF004","brazilian_applied_context","5.1","Analisa severidade em rodovias federais brasileiras com dados de acidentes.","É contexto brasileiro de aprendizagem estatística, não benchmark de ML para este TCC."
"L2","Exposição ao tráfego e interpretação de taxas/proporções condicionais","REF005","conceptual_foundation","5.1;5.7","Define exposição como oportunidades relevantes para ocorrência de acidentes.","Não escolher denominador retrospectivamente nem chamar proporção entre registros de risco de acidente."
"L3","Validação temporal, generalização temporal e/ou dataset shift em modelos preditivos","REF006","dataset_shift_foundation","5.4;5.7","Organiza formas de mudança entre distribuições de treino e teste.","Não atribuir deltas de 2025 a uma forma específica de shift sem análise causal adicional."
"L3","Validação temporal, generalização temporal e/ou dataset shift em modelos preditivos","REF007","validation_design","5.4","Mostra que dependência temporal deve orientar a estratégia de validação.","Não alegar estabilidade estatística com três folds."
"L4","Modelos ensemble / boosting em dados tabulares e relação entre complexidade e desempenho","REF008","method_reference","5.3","É a referência original de Random Forest como ensemble de árvores.","Não sustenta superioridade da RF neste estudo."
"L4","Modelos ensemble / boosting em dados tabulares e relação entre complexidade e desempenho","REF009","method_reference","5.3","É a referência original do sistema XGBoost.","Não sustenta superioridade universal do XGBoost."
"L4","Modelos ensemble / boosting em dados tabulares e relação entre complexidade e desempenho","REF001","applied_comparison","5.3","Exemplifica que famílias de complexidade distinta podem ser comparadas em gravidade.","Conclusões dependem de dados, configuração e métrica."
"L4","Modelos ensemble / boosting em dados tabulares e relação entre complexidade e desempenho","REF003","applied_comparison","5.3","Fornece comparação aplicada incluindo Random Forest.","Não usar o estudo externo para explicar o pequeno delta interno."
"L5","Average Precision / precision-recall em problemas com classes desbalanceadas","REF010","metric_foundation","5.2","Distingue formalmente os espaços ROC e precision-recall.","AP operacional deste TCC não deve ser chamada genericamente de PR-AUC."
"L5","Average Precision / precision-recall em problemas com classes desbalanceadas","REF011","imbalance_context","5.2","Discute a utilidade de PR quando positivos são menos frequentes.","Não afirmar que AP é sempre melhor que ROC-AUC."
"L6","Calibração probabilística e Brier score","REF012","score_origin","5.2;5.4","É a origem do escore quadrático para previsões probabilísticas.","Brier isolado não prova calibração perfeita."
"L6","Calibração probabilística e Brier score","REF013","calibration_guidance","5.2;5.4","Separa calibração de discriminação e orienta leitura de curvas.","F7 permanece diagnóstico agrupado descritivo."
"L7","Trade-off precision–recall, seleção de threshold e custos de decisão","REF014","decision_context","5.5","Relaciona pontos de operação a custos e distribuição de classes.","Não há custos de FP/FN da PRF neste projeto."
"L7","Trade-off precision–recall, seleção de threshold e custos de decisão","REF015","f1_threshold_method","5.5","Formaliza a escolha de threshold que maximiza F1.","Ótimo de F1 não equivale a ótimo institucional."
"L7","Trade-off precision–recall, seleção de threshold e custos de decisão","REF010","precision_recall_relation","5.5","Apoia a leitura conjunta de precision e recall.","Não escolher novo threshold nem reinterpretar AP como decisão binária."
"L8","SHAP, interpretação de modelos, agregação de variáveis one-hot e limites de interpretação causal","REF016","shap_origin","5.6","Apresenta SHAP como explicação aditiva de predições.","Contribuição preditiva não é efeito causal."
"L8","SHAP, interpretação de modelos, agregação de variáveis one-hot e limites de interpretação causal","REF017","tree_shap_method","5.6","Fundamenta Tree SHAP e resumos globais derivados de explicações locais.","Agregações dependem da representação e da cardinalidade."
"L8","SHAP, interpretação de modelos, agregação de variáveis one-hot e limites de interpretação causal","REF018","causal_boundary","5.6;5.7","Explicita que relevância de features e causalidade são problemas distintos.","Não atribuir causas a partir dos valores SHAP."
"L8","SHAP, interpretação de modelos, agregação de variáveis one-hot e limites de interpretação causal","REF019","interpretability_limit","5.6;5.7","Documenta limites de importâncias baseadas em Shapley.","A crítica limita o alcance, mas não invalida o uso descritivo congelado."
